 ID, Name, Location ID, Type, Square Feet, Year Built, Floor Count, Class, Status
820399212,Property-64,1471675915,Office,89600,2018,31,C,Active
2129512070,Property-65,1543008264,Mixed-Use,43577,1982,4,B,Active
128004263,Property-66,797040693,Office,72722,1996,25,C,Active
366405784,Property-67,1749207277,Office,50663,1986,48,B,Active
2092643025,Property-68,1098300226,Office,96541,2008,48,B,Active
965713986,Property-69,1702785272,Office,193923,1983,29,B,Active
1232613023,Property-70,582604031,Retail,42904,2013,1,A,Active
521929384,Property-71,1640400827,Office,122958,1998,11,C,Active
1937494949,Property-72,1474303324,Mixed-Use,113575,2002,4,A,Active
1714793362,Property-73,382547934,Office,183080,2008,49,A,Active
1353451729,Property-74,1616837878,Office,55383,2004,20,C,Active
354933190,Property-75,1970624490,Retail,97351,2002,5,B,Active
1699530303,Property-76,2011442817,Office,186552,1987,48,A,Active
430458603,Property-77,1289473572,Industrial,362087,2016,1,A,Active
1323346024,Property-78,1028759021,Office,115087,2020,25,C,Active
939141017,Property-79,1982742142,Office,154556,2014,16,A,Active
1516452081,Property-80,2063393844,Office,91412,1997,35,B,Active
1927196692,Property-81,1808110802,Retail,76778,2010,1,C,Active
1094516661,Property-82,842711869,Office,142125,2010,33,B,Active
765188855,Property-83,1640469825,Industrial,315894,2020,1,A,Active
1442135924,Property-84,2077871161,Office,133278,2000,30,B,Active
823624442,Property-85,1222493451,Industrial,406252,2008,1,B,Active
1534278208,Property-86,1253908575,Industrial,225389,2014,2,C,Active
1214206002,Property-87,241555828,Mixed-Use,88796,2015,10,B,Active
1924416294,Property-88,100918635,Office,85974,2000,17,B,Active
826150851,Property-89,638662987,Mixed-Use,127282,1997,10,A,Active
1182914442,Property-90,1487332584,Retail,92421,2015,6,B,Active
1875906281,Property-91,704512385,Retail,45198,2018,10,B,Active
105582575,Property-92,1131331904,Retail,80816,1980,1,A,Active
2032224666,Property-93,1253399310,Retail,45577,2006,4,A,Active
1199302143,Property-94,2120851954,Office,194965,1980,43,A,Active
2048972548,Property-95,1637356298,Retail,82890,1990,1,B,Active
704360868,Property-96,1404277941,Industrial,156812,2004,2,B,Active
1523937773,Property-97,1358241143,Office,50402,1984,19,A,Active
2016018149,Property-98,2037261486,Office,92992,1994,16,C,Active
335299672,Property-99,369978346,Retail,41928,2001,1,B,Active
2107576594,Property-100,104293411,Retail,42556,1989,7,B,Active
