 Bom Component ID, Product ID, Quantity
572891447,502007491,1
1298546795,2002934333,4
1770311114,962431705,2
572319584,571324225,5
1855936408,922640075,3
731072898,962431705,2
1529801063,571324225,3
2016867969,922640075,4
1169465333,962431705,1
323612559,571324225,4
1390048209,922640075,2
