 ID, Employee ID, Name, Type, Format, Status, Start Time, End Time, Location, Description, Num Attendees, Recurring, Budget, Created At
302270004,1826904509,Admin Console Workshop,Training,In-Person,Scheduled,2025-04-06 23:00:35.133126 UTC,2025-04-07 03:00:35.133126 UTC,Customer HQ,Best practices workshop,6,TRUE,4197.219626366972,2024-11-13 23:00:35.133126 UTC
62892352,374742912,Success Review,Customer Meeting,Virtual,Scheduled,2025-04-01 23:00:35.135738 UTC,2025-04-02 00:00:35.135738 UTC,Zoom Meeting,Strategic planning session with customer team,2,FALSE,,2024-11-18 23:00:35.135738 UTC
1695156442,1837155942,Industry Summit,Conference,Virtual,Scheduled,2025-04-24 23:00:35.136596 UTC,2025-04-25 07:00:35.136596 UTC,Zoom Meeting,Regular scheduled meeting,51,FALSE,37225.91927000128,2024-10-26 23:00:35.136596 UTC
1487893032,1050508733,Industry Trends Webinar,Webinar,Virtual,Scheduled,2025-03-14 23:00:35.137338 UTC,2025-03-15 01:00:35.137338 UTC,Zoom Meeting,Learn best practices from industry experts,48,FALSE,,2024-12-06 23:00:35.137338 UTC
1565249854,943289491,Annual User Conference,Conference,In-Person,Scheduled,2025-03-01 23:00:35.138042 UTC,2025-03-02 07:00:35.138042 UTC,Customer HQ,Regular scheduled meeting,51,FALSE,37742.83630711995,2024-12-19 23:00:35.138042 UTC
1596833157,1439420165,New Feature Training,Training,In-Person,Scheduled,2025-04-24 23:00:35.13961 UTC,2025-04-25 03:00:35.13961 UTC,Customer HQ,Hands-on training session for new features,12,TRUE,4181.262078164582,2024-10-26 23:00:35.13961 UTC
111673849,742365891,Best Practices Session,Webinar,Virtual,Scheduled,2025-02-22 23:00:35.140351 UTC,2025-02-23 01:00:35.140351 UTC,Zoom Meeting,Join us for updates on new features and roadmap,22,FALSE,,2024-12-26 23:00:35.140351 UTC
208044337,517880878,Annual User Conference,Conference,Hybrid,Scheduled,2025-02-03 23:00:35.142479 UTC,2025-02-04 07:00:35.142479 UTC,HQ + Zoom,Regular scheduled meeting,70,FALSE,20476.417661499112,2025-01-14 23:00:35.142479 UTC
2113915380,943289491,Product Roadmap Discussion,Customer Meeting,In-Person,Scheduled,2025-04-04 23:00:35.143308 UTC,2025-04-05 00:00:35.143308 UTC,Customer HQ,Strategic planning session with customer team,3,FALSE,,2024-11-15 23:00:35.143308 UTC
1172421615,122346013,New Feature Training,Training,Virtual,Scheduled,2025-03-14 23:00:35.144032 UTC,2025-03-15 03:00:35.144032 UTC,Zoom Meeting,Best practices workshop,9,TRUE,2602.1292037924186,2024-12-06 23:00:35.144032 UTC
1895808649,1997519883,Q2 2024 Business Review,QBR,Virtual,Scheduled,2025-02-08 23:00:35.14562 UTC,2025-02-09 02:00:35.14562 UTC,Zoom Meeting,Regular scheduled meeting,6,TRUE,,2025-01-09 23:00:35.14562 UTC
1582474822,1180861141,Best Practices Session,Webinar,In-Person,Scheduled,2025-04-10 23:00:35.147484 UTC,2025-04-11 01:00:35.147484 UTC,Customer HQ,Learn best practices from industry experts,47,FALSE,,2024-11-09 23:00:35.147484 UTC
2025607638,643793315,Success Review,Customer Meeting,Virtual,Scheduled,2025-02-07 23:00:35.148332 UTC,2025-02-08 00:00:35.148332 UTC,Zoom Meeting,Review current implementation and discuss next steps,3,FALSE,,2025-01-10 23:00:35.148332 UTC
1777090778,840859815,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-01-27 23:00:35.149054 UTC,2025-01-28 00:00:35.149054 UTC,Zoom Meeting,Review current implementation and discuss next steps,3,FALSE,,2025-01-21 23:00:35.149054 UTC
1082834022,126591564,Industry Trends Webinar,Webinar,In-Person,Scheduled,2025-02-25 23:00:35.149826 UTC,2025-02-26 01:00:35.149826 UTC,Customer HQ,Interactive Q&A session with product team,38,FALSE,,2024-12-23 23:00:35.149826 UTC
1990271632,2138075717,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-03-05 23:00:35.161969 UTC,2025-03-06 00:00:35.161969 UTC,Zoom Meeting,Review current implementation and discuss next steps,4,FALSE,,2024-12-15 23:00:35.161969 UTC
1985581917,374742912,Annual User Conference,Conference,Virtual,Scheduled,2025-02-15 23:00:35.163886 UTC,2025-02-16 07:00:35.163886 UTC,Zoom Meeting,Regular scheduled meeting,89,FALSE,34355.612009348944,2025-01-02 23:00:35.163886 UTC
94648649,1997519883,Implementation Planning,Customer Meeting,In-Person,Scheduled,2025-03-19 23:00:35.166081 UTC,2025-03-20 00:00:35.166081 UTC,Customer HQ,Review current implementation and discuss next steps,4,FALSE,,2024-12-01 23:00:35.166081 UTC
450133778,1439420165,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-04-14 23:00:35.168505 UTC,2025-04-15 00:00:35.168505 UTC,Zoom Meeting,Review current implementation and discuss next steps,3,FALSE,,2024-11-05 23:00:35.168505 UTC
918198439,742365891,Q1 2024 Business Review,QBR,Virtual,Scheduled,2025-03-31 23:00:35.170689 UTC,2025-04-01 02:00:35.170689 UTC,Zoom Meeting,Regular scheduled meeting,7,TRUE,,2024-11-19 23:00:35.170689 UTC
1755605423,943289491,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-02-11 23:00:35.182693 UTC,2025-02-12 00:00:35.182693 UTC,Zoom Meeting,Technical architecture review,3,FALSE,,2025-01-06 23:00:35.182693 UTC
1815230807,1837155942,Implementation Planning,Customer Meeting,Hybrid,Scheduled,2025-03-08 23:00:35.183406 UTC,2025-03-09 00:00:35.183406 UTC,HQ + Zoom,Strategic planning session with customer team,4,FALSE,,2024-12-12 23:00:35.183406 UTC
328028635,1507141089,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-04-03 23:00:35.184103 UTC,2025-04-04 00:00:35.184103 UTC,Zoom Meeting,Technical architecture review,3,FALSE,,2024-11-16 23:00:35.184103 UTC
1951367722,1157138452,Q3 2024 Business Review,QBR,Virtual,Scheduled,2025-03-14 23:00:35.184801 UTC,2025-03-15 02:00:35.184801 UTC,Zoom Meeting,Regular scheduled meeting,8,TRUE,,2024-12-06 23:00:35.184801 UTC
161205891,1439420165,Product Roadmap Discussion,Customer Meeting,In-Person,Scheduled,2025-04-01 23:00:35.186951 UTC,2025-04-02 00:00:35.186951 UTC,Customer HQ,Strategic planning session with customer team,2,FALSE,,2024-11-18 23:00:35.186951 UTC
912291256,943289491,Advanced User Training,Training,Virtual,Scheduled,2025-02-11 23:00:35.187787 UTC,2025-02-12 03:00:35.187787 UTC,Zoom Meeting,Deep dive into advanced functionality,9,TRUE,2370.623800444896,2025-01-06 23:00:35.187787 UTC
2145306989,122346013,Product Updates Webinar,Webinar,Virtual,Scheduled,2025-02-22 23:00:35.189805 UTC,2025-02-23 01:00:35.189805 UTC,Zoom Meeting,Learn best practices from industry experts,40,FALSE,,2024-12-26 23:00:35.189805 UTC
1076793975,1050508733,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-01-25 23:00:35.19052 UTC,2025-01-26 00:00:35.19052 UTC,Zoom Meeting,Technical architecture review,3,FALSE,,2025-01-23 23:00:35.19052 UTC
1121219547,943289491,Best Practices Session,Webinar,Virtual,Scheduled,2025-02-21 23:00:35.191226 UTC,2025-02-22 01:00:35.191226 UTC,Zoom Meeting,Learn best practices from industry experts,47,FALSE,,2024-12-27 23:00:35.191226 UTC
144488522,1826904509,Success Review,Customer Meeting,Virtual,Scheduled,2025-02-18 23:00:35.19192 UTC,2025-02-19 00:00:35.19192 UTC,Zoom Meeting,Strategic planning session with customer team,3,FALSE,,2024-12-30 23:00:35.19192 UTC
1254612743,289350603,Q1 2024 Business Review,QBR,Virtual,Scheduled,2025-02-24 23:00:35.193444 UTC,2025-02-25 02:00:35.193444 UTC,Zoom Meeting,Regular scheduled meeting,5,TRUE,,2024-12-24 23:00:35.193444 UTC
1403965159,1439420165,New Feature Training,Training,Hybrid,Scheduled,2025-04-14 23:00:35.194564 UTC,2025-04-15 03:00:35.194564 UTC,HQ + Zoom,Deep dive into advanced functionality,9,TRUE,2565.4980524954503,2024-11-05 23:00:35.194564 UTC
1439305706,81801061,Success Review,Customer Meeting,In-Person,Scheduled,2025-03-12 23:00:35.195231 UTC,2025-03-13 00:00:35.195231 UTC,Customer HQ,Strategic planning session with customer team,5,FALSE,,2024-12-08 23:00:35.195231 UTC
51040472,1997519883,Industry Trends Webinar,Webinar,In-Person,Scheduled,2025-04-12 23:00:35.196674 UTC,2025-04-13 01:00:35.196674 UTC,Customer HQ,Join us for updates on new features and roadmap,36,FALSE,,2024-11-07 23:00:35.196674 UTC
56849176,895334175,Success Review,Customer Meeting,In-Person,Scheduled,2025-01-25 23:00:35.197467 UTC,2025-01-26 00:00:35.197467 UTC,Customer HQ,Review current implementation and discuss next steps,5,FALSE,,2025-01-23 23:00:35.197467 UTC
567917284,1816148921,Implementation Planning,Customer Meeting,In-Person,Scheduled,2025-03-06 23:00:35.210007 UTC,2025-03-07 00:00:35.210007 UTC,Customer HQ,Review current implementation and discuss next steps,2,FALSE,,2024-12-14 23:00:35.210007 UTC
1104836803,122346013,Success Review,Customer Meeting,In-Person,Scheduled,2025-02-23 23:00:35.21295 UTC,2025-02-24 00:00:35.21295 UTC,Customer HQ,Technical architecture review,4,FALSE,,2024-12-25 23:00:35.21295 UTC
540863893,1398229709,Implementation Planning,Customer Meeting,In-Person,Scheduled,2025-03-11 23:00:35.215172 UTC,2025-03-12 00:00:35.215172 UTC,Customer HQ,Review current implementation and discuss next steps,2,FALSE,,2024-12-09 23:00:35.215172 UTC
1252101540,289350603,Implementation Planning,Customer Meeting,In-Person,Scheduled,2025-04-14 23:00:35.217114 UTC,2025-04-15 00:00:35.217114 UTC,Customer HQ,Review current implementation and discuss next steps,5,FALSE,,2024-11-05 23:00:35.217114 UTC
1473505019,1507141089,Admin Console Workshop,Training,In-Person,Scheduled,2025-03-29 23:00:35.219639 UTC,2025-03-30 03:00:35.219639 UTC,Customer HQ,Deep dive into advanced functionality,12,TRUE,4137.841334923335,2024-11-21 23:00:35.219639 UTC
1582846838,81801061,Success Review,Customer Meeting,Virtual,Scheduled,2025-03-28 23:00:35.233191 UTC,2025-03-29 00:00:35.233191 UTC,Zoom Meeting,Review current implementation and discuss next steps,3,FALSE,,2024-11-22 23:00:35.233191 UTC
1542780279,840859815,Admin Console Workshop,Training,Virtual,Scheduled,2025-03-16 23:00:35.23397 UTC,2025-03-17 03:00:35.23397 UTC,Zoom Meeting,Hands-on training session for new features,6,TRUE,3224.6737558650766,2024-12-04 23:00:35.23397 UTC
797237358,1439420165,Advanced User Training,Training,Virtual,Scheduled,2025-04-18 23:00:35.234679 UTC,2025-04-19 03:00:35.234679 UTC,Zoom Meeting,Hands-on training session for new features,13,TRUE,2855.5714195137234,2024-11-01 23:00:35.234679 UTC
1518909321,1439420165,Annual User Conference,Conference,Virtual,Scheduled,2025-03-11 23:00:35.235402 UTC,2025-03-12 07:00:35.235402 UTC,Zoom Meeting,Regular scheduled meeting,87,FALSE,22021.128917299466,2024-12-09 23:00:35.235402 UTC
603283710,1224300936,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-03-12 23:00:35.237663 UTC,2025-03-13 00:00:35.237663 UTC,Zoom Meeting,Technical architecture review,5,FALSE,,2024-12-08 23:00:35.237663 UTC
1132673707,840859815,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-04-03 23:00:35.238339 UTC,2025-04-04 00:00:35.238339 UTC,Zoom Meeting,Strategic planning session with customer team,2,FALSE,,2024-11-16 23:00:35.238339 UTC
1947377087,943289491,Success Review,Customer Meeting,Virtual,Scheduled,2025-04-05 23:00:35.240553 UTC,2025-04-06 00:00:35.240553 UTC,Zoom Meeting,Technical architecture review,3,FALSE,,2024-11-14 23:00:35.240553 UTC
570626160,374742912,Industry Trends Webinar,Webinar,Hybrid,Scheduled,2025-04-12 23:00:35.241237 UTC,2025-04-13 01:00:35.241237 UTC,HQ + Zoom,Interactive Q&A session with product team,25,FALSE,,2024-11-07 23:00:35.241237 UTC
1387751466,742365891,Best Practices Session,Webinar,Virtual,Scheduled,2025-03-05 23:00:35.242874 UTC,2025-03-06 01:00:35.242874 UTC,Zoom Meeting,Join us for updates on new features and roadmap,36,FALSE,,2024-12-15 23:00:35.242874 UTC
1458115314,1816148921,New Feature Training,Training,Virtual,Scheduled,2025-04-20 23:00:35.243573 UTC,2025-04-21 03:00:35.243573 UTC,Zoom Meeting,Hands-on training session for new features,10,TRUE,3282.060983666978,2024-10-30 23:00:35.243573 UTC
911050053,519770588,New Feature Training,Training,In-Person,Scheduled,2025-02-14 23:00:35.24438 UTC,2025-02-15 03:00:35.24438 UTC,Customer HQ,Hands-on training session for new features,6,TRUE,2979.287628584047,2025-01-03 23:00:35.24438 UTC
1467391412,643793315,New Feature Training,Training,In-Person,Scheduled,2025-03-11 23:00:35.24509 UTC,2025-03-12 03:00:35.24509 UTC,Customer HQ,Best practices workshop,8,TRUE,4012.162280945352,2024-12-09 23:00:35.24509 UTC
292067026,943289491,Q3 2024 Business Review,QBR,Virtual,Scheduled,2025-04-23 23:00:35.247626 UTC,2025-04-24 02:00:35.247626 UTC,Zoom Meeting,Regular scheduled meeting,7,TRUE,,2024-10-27 23:00:35.247626 UTC
1580160770,895334175,Success Review,Customer Meeting,Hybrid,Scheduled,2025-03-07 23:00:35.248408 UTC,2025-03-08 00:00:35.248408 UTC,HQ + Zoom,Review current implementation and discuss next steps,4,FALSE,,2024-12-13 23:00:35.248408 UTC
2019565486,2138075717,Implementation Planning,Customer Meeting,In-Person,Scheduled,2025-02-10 23:00:35.249287 UTC,2025-02-11 00:00:35.249287 UTC,Customer HQ,Strategic planning session with customer team,5,FALSE,,2025-01-07 23:00:35.249287 UTC
1990642382,519770588,Success Review,Customer Meeting,In-Person,Scheduled,2025-04-21 23:00:35.251343 UTC,2025-04-22 00:00:35.251343 UTC,Customer HQ,Review current implementation and discuss next steps,5,FALSE,,2024-10-29 23:00:35.251343 UTC
1184267622,289350603,Annual User Conference,Conference,Virtual,Scheduled,2025-04-16 23:00:35.252246 UTC,2025-04-17 07:00:35.252246 UTC,Zoom Meeting,Regular scheduled meeting,63,FALSE,46057.06136090159,2024-11-03 23:00:35.252246 UTC
293212485,1029413620,Success Review,Customer Meeting,In-Person,Scheduled,2025-03-15 23:00:35.253065 UTC,2025-03-16 00:00:35.253065 UTC,Customer HQ,Strategic planning session with customer team,4,FALSE,,2024-12-05 23:00:35.253065 UTC
2087372182,289350603,Success Review,Customer Meeting,Virtual,Scheduled,2025-04-18 23:00:35.253837 UTC,2025-04-19 00:00:35.253837 UTC,Zoom Meeting,Strategic planning session with customer team,5,FALSE,,2024-11-01 23:00:35.253837 UTC
419543724,1507141089,Admin Console Workshop,Training,Virtual,Scheduled,2025-04-23 23:00:35.256262 UTC,2025-04-24 03:00:35.256262 UTC,Zoom Meeting,Hands-on training session for new features,14,TRUE,1606.9852348007148,2024-10-27 23:00:35.256262 UTC
2018551030,1507141089,Implementation Planning,Customer Meeting,In-Person,Scheduled,2025-03-29 23:00:35.257073 UTC,2025-03-30 00:00:35.257073 UTC,Customer HQ,Technical architecture review,2,FALSE,,2024-11-21 23:00:35.257073 UTC
1641804654,943289491,Product Updates Webinar,Webinar,In-Person,Scheduled,2025-02-18 23:00:35.257852 UTC,2025-02-19 01:00:35.257852 UTC,Customer HQ,Join us for updates on new features and roadmap,38,FALSE,,2024-12-30 23:00:35.257852 UTC
1871205030,1157138452,Best Practices Session,Webinar,Virtual,Scheduled,2025-03-12 23:00:35.260621 UTC,2025-03-13 01:00:35.260621 UTC,Zoom Meeting,Join us for updates on new features and roadmap,42,FALSE,,2024-12-08 23:00:35.260621 UTC
535296090,1837155942,Annual User Conference,Conference,In-Person,Scheduled,2025-02-10 23:00:35.261408 UTC,2025-02-11 07:00:35.261408 UTC,Customer HQ,Regular scheduled meeting,84,FALSE,25546.031172173876,2025-01-07 23:00:35.261408 UTC
1624757328,1224300936,Annual User Conference,Conference,In-Person,Scheduled,2025-02-17 23:00:35.27189 UTC,2025-02-18 07:00:35.27189 UTC,Customer HQ,Regular scheduled meeting,98,FALSE,24400.088583303055,2024-12-31 23:00:35.27189 UTC
412946966,1050508733,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-02-18 23:00:35.273855 UTC,2025-02-19 00:00:35.273855 UTC,Zoom Meeting,Review current implementation and discuss next steps,2,FALSE,,2024-12-30 23:00:35.273855 UTC
1295718485,1180861141,Success Review,Customer Meeting,Virtual,Scheduled,2025-04-10 23:00:35.275483 UTC,2025-04-11 00:00:35.275483 UTC,Zoom Meeting,Technical architecture review,3,FALSE,,2024-11-09 23:00:35.275483 UTC
665236589,517880878,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-02-28 23:00:35.28522 UTC,2025-03-01 00:00:35.28522 UTC,Zoom Meeting,Review current implementation and discuss next steps,2,FALSE,,2024-12-20 23:00:35.28522 UTC
1046417554,374742912,Admin Console Workshop,Training,In-Person,Scheduled,2025-02-15 23:00:35.286004 UTC,2025-02-16 03:00:35.286004 UTC,Customer HQ,Hands-on training session for new features,10,TRUE,4044.9265285553774,2025-01-02 23:00:35.286004 UTC
845480226,374742912,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-03-22 23:00:35.288559 UTC,2025-03-23 00:00:35.288559 UTC,Zoom Meeting,Review current implementation and discuss next steps,5,FALSE,,2024-11-28 23:00:35.288559 UTC
1547313206,517880878,Product Updates Webinar,Webinar,In-Person,Scheduled,2025-03-18 23:00:35.289238 UTC,2025-03-19 01:00:35.289238 UTC,Customer HQ,Interactive Q&A session with product team,38,FALSE,,2024-12-02 23:00:35.289238 UTC
1079617438,289350603,Product Updates Webinar,Webinar,Virtual,Scheduled,2025-01-30 23:00:35.289901 UTC,2025-01-31 01:00:35.289901 UTC,Zoom Meeting,Join us for updates on new features and roadmap,42,FALSE,,2025-01-18 23:00:35.289901 UTC
1562596132,1608037409,New Feature Training,Training,In-Person,Scheduled,2025-04-14 23:00:35.291908 UTC,2025-04-15 03:00:35.291908 UTC,Customer HQ,Best practices workshop,8,TRUE,4149.270230608063,2024-11-05 23:00:35.291908 UTC
860223553,943289491,Implementation Planning,Customer Meeting,In-Person,Scheduled,2025-02-06 23:00:35.292678 UTC,2025-02-07 00:00:35.292678 UTC,Customer HQ,Technical architecture review,5,FALSE,,2025-01-11 23:00:35.292678 UTC
262396413,374742912,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-02-08 23:00:35.294778 UTC,2025-02-09 00:00:35.294778 UTC,Zoom Meeting,Technical architecture review,2,FALSE,,2025-01-09 23:00:35.294778 UTC
293015864,1837155942,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-02-21 23:00:35.29554 UTC,2025-02-22 00:00:35.29554 UTC,Zoom Meeting,Technical architecture review,5,FALSE,,2024-12-27 23:00:35.29554 UTC
1897816443,1997519883,Annual User Conference,Conference,Hybrid,Scheduled,2025-03-17 23:00:35.298114 UTC,2025-03-18 07:00:35.298114 UTC,HQ + Zoom,Regular scheduled meeting,90,FALSE,34448.830250901556,2024-12-03 23:00:35.298114 UTC
58340145,1180861141,Annual User Conference,Conference,In-Person,Scheduled,2025-01-28 23:00:35.298899 UTC,2025-01-29 07:00:35.298899 UTC,Customer HQ,Regular scheduled meeting,62,FALSE,25042.26710694429,2025-01-20 23:00:35.298899 UTC
146814550,1837155942,Success Review,Customer Meeting,Virtual,Scheduled,2025-03-20 23:00:35.299839 UTC,2025-03-21 00:00:35.299839 UTC,Zoom Meeting,Technical architecture review,5,FALSE,,2024-11-30 23:00:35.299839 UTC
806701397,1029413620,Product Roadmap Discussion,Customer Meeting,In-Person,Scheduled,2025-04-14 23:00:35.300497 UTC,2025-04-15 00:00:35.300497 UTC,Customer HQ,Strategic planning session with customer team,3,FALSE,,2024-11-05 23:00:35.300497 UTC
136373167,1180861141,Success Review,Customer Meeting,Hybrid,Scheduled,2025-02-07 23:00:35.302626 UTC,2025-02-08 00:00:35.302626 UTC,HQ + Zoom,Technical architecture review,5,FALSE,,2025-01-10 23:00:35.302626 UTC
1619116377,742365891,Partner Conference,Conference,Virtual,Scheduled,2025-02-23 23:00:35.303354 UTC,2025-02-24 07:00:35.303354 UTC,Zoom Meeting,Regular scheduled meeting,99,FALSE,41356.70426861568,2024-12-25 23:00:35.303354 UTC
574146655,1224300936,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-04-23 23:00:35.304038 UTC,2025-04-24 00:00:35.304038 UTC,Zoom Meeting,Review current implementation and discuss next steps,2,FALSE,,2024-10-27 23:00:35.304038 UTC
1186911880,1398229709,Admin Console Workshop,Training,Virtual,Scheduled,2025-03-08 23:00:35.306233 UTC,2025-03-09 03:00:35.306233 UTC,Zoom Meeting,Hands-on training session for new features,14,TRUE,4149.963964566063,2024-12-12 23:00:35.306233 UTC
1379720226,1816148921,Product Roadmap Discussion,Customer Meeting,Virtual,Scheduled,2025-04-10 23:00:35.30695 UTC,2025-04-11 00:00:35.30695 UTC,Zoom Meeting,Review current implementation and discuss next steps,5,FALSE,,2024-11-09 23:00:35.30695 UTC
1739720474,1826904509,Advanced User Training,Training,Hybrid,Scheduled,2025-04-05 23:00:35.307655 UTC,2025-04-06 03:00:35.307655 UTC,HQ + Zoom,Hands-on training session for new features,11,TRUE,1241.9997589345976,2024-11-14 23:00:35.307655 UTC
1862815003,374742912,Success Review,Customer Meeting,Virtual,Scheduled,2025-02-18 23:00:35.308353 UTC,2025-02-19 00:00:35.308353 UTC,Zoom Meeting,Strategic planning session with customer team,2,FALSE,,2024-12-30 23:00:35.308353 UTC
613235824,519770588,Industry Trends Webinar,Webinar,In-Person,Scheduled,2025-03-30 23:00:35.310212 UTC,2025-03-31 01:00:35.310212 UTC,Customer HQ,Learn best practices from industry experts,35,FALSE,,2024-11-20 23:00:35.310212 UTC
2064417786,1507141089,Product Updates Webinar,Webinar,In-Person,Scheduled,2025-03-26 23:00:35.310905 UTC,2025-03-27 01:00:35.310905 UTC,Customer HQ,Join us for updates on new features and roadmap,45,FALSE,,2024-11-24 23:00:35.310905 UTC
1668517233,81801061,Success Review,Customer Meeting,In-Person,Scheduled,2025-01-29 23:00:35.3116 UTC,2025-01-30 00:00:35.3116 UTC,Customer HQ,Technical architecture review,2,FALSE,,2025-01-19 23:00:35.3116 UTC
1457420483,519770588,Q3 2024 Business Review,QBR,Virtual,Scheduled,2025-02-13 23:00:35.31232 UTC,2025-02-14 02:00:35.31232 UTC,Zoom Meeting,Regular scheduled meeting,6,TRUE,,2025-01-04 23:00:35.31232 UTC
2020457057,895334175,Success Review,Customer Meeting,Hybrid,Scheduled,2025-03-25 23:00:35.314344 UTC,2025-03-26 00:00:35.314344 UTC,HQ + Zoom,Review current implementation and discuss next steps,4,FALSE,,2024-11-25 23:00:35.314344 UTC
2117303331,951775129,Partner Conference,Conference,Virtual,Scheduled,2025-02-09 23:00:35.315212 UTC,2025-02-10 07:00:35.315212 UTC,Zoom Meeting,Regular scheduled meeting,77,FALSE,13070.851093932853,2025-01-08 23:00:35.315212 UTC
878525544,1029413620,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-01-26 23:00:35.316346 UTC,2025-01-27 00:00:35.316346 UTC,Zoom Meeting,Review current implementation and discuss next steps,4,FALSE,,2025-01-22 23:00:35.316346 UTC
1198287654,1050508733,Annual User Conference,Conference,In-Person,Scheduled,2025-02-15 23:00:35.325724 UTC,2025-02-16 07:00:35.325724 UTC,Customer HQ,Regular scheduled meeting,62,FALSE,10413.839432981596,2025-01-02 23:00:35.325724 UTC
114257027,289350603,Success Review,Customer Meeting,Virtual,Scheduled,2025-03-22 23:00:35.328202 UTC,2025-03-23 00:00:35.328202 UTC,Zoom Meeting,Review current implementation and discuss next steps,3,FALSE,,2024-11-28 23:00:35.328202 UTC
1916810825,1837155942,Implementation Planning,Customer Meeting,Virtual,Scheduled,2025-03-23 23:00:35.329688 UTC,2025-03-24 00:00:35.329688 UTC,Zoom Meeting,Review current implementation and discuss next steps,5,FALSE,,2024-11-27 23:00:35.329688 UTC
839980794,374742912,New Feature Training,Training,Virtual,Scheduled,2025-04-13 23:00:35.331796 UTC,2025-04-14 03:00:35.331796 UTC,Zoom Meeting,Best practices workshop,7,TRUE,2926.565401803666,2024-11-06 23:00:35.331796 UTC
1048446075,1398229709,Admin Console Workshop,Training,In-Person,Scheduled,2025-04-10 23:00:35.334228 UTC,2025-04-11 03:00:35.334228 UTC,Customer HQ,Hands-on training session for new features,10,TRUE,2979.759079175311,2024-11-09 23:00:35.334228 UTC
1360182152,519770588,New Feature Training,Training,Virtual,Scheduled,2025-03-31 23:00:35.346773 UTC,2025-04-01 03:00:35.346773 UTC,Zoom Meeting,Deep dive into advanced functionality,10,TRUE,3476.252368022821,2024-11-19 23:00:35.346773 UTC
1563288182,1050508733,Product Updates Webinar,Webinar,Virtual,Scheduled,2025-03-15 23:00:35.347481 UTC,2025-03-16 01:00:35.347481 UTC,Zoom Meeting,Interactive Q&A session with product team,27,FALSE,,2024-12-05 23:00:35.347481 UTC
