 ID, Organization ID, Name, Type, Tier, Industry, Annual Revenue, Contract Value, Renewal Date, Last Contacted At, Created At, Region, Status, Manager
1760008311,1623387676,NA Subsidiary,Channel,Mid-Market,Healthcare,4.1544768720413804e8,438446.79636353545,2025-06-16 21:45:52.208379 UTC,2025-01-15 19:14:29.208379 UTC,2024-04-23 14:17:33.208379 UTC,NA,Active,1310919404
563759707,1623387676,NA Division,Direct,Mid-Market,Healthcare,2.3750749630718547e8,371542.7707327475,2025-05-18 22:45:08.270517 UTC,2025-01-18 07:02:27.270517 UTC,2024-10-21 09:00:05.270517 UTC,NA,Active,1310919404
270791858,1623387676,NA Division,Direct,SMB,Manufacturing,3.511913828487247e7,46532.58066079097,2025-10-26 01:51:53.327136 UTC,,2024-03-30 07:20:07.327136 UTC,NA,Churned,1310919404
1637559424,1623387676,NA Subsidiary,Direct,SMB,Healthcare,3.1414848155827694e7,27837.08740998838,2025-07-03 23:47:39.377865 UTC,2025-01-11 00:58:44.377865 UTC,2024-09-09 15:22:35.377865 UTC,NA,Active,1310919404
1677846115,1623387676,NA Branch,Direct,Enterprise,Technology,3.433563196201455e9,822999.9830450908,2025-09-21 17:26:20.431349 UTC,2025-01-18 10:12:35.431349 UTC,2023-06-10 22:34:53.431349 UTC,NA,Active,1310919404
1852557348,22857967,NA Branch,Channel,Enterprise,Retail,1.7509463152262256e9,1992581.5008949526,2025-05-14 00:29:14.506271 UTC,2025-01-20 21:20:16.506271 UTC,2024-11-27 19:20:56.506271 UTC,NA,Active,1310919404
1511310562,22857967,NA Division,Channel,SMB,Healthcare,4.38389774959331e7,50672.65949451191,2025-11-12 19:26:38.555872 UTC,2025-01-24 21:03:18.555872 UTC,2023-02-09 12:53:18.555872 UTC,NA,Active,1310919404
1583025854,22857967,NA Division,Direct,SMB,Manufacturing,4.9571063568353906e7,62381.477991158485,2025-08-13 13:13:07.603236 UTC,2025-01-16 13:30:53.603236 UTC,2023-06-22 13:32:14.603236 UTC,NA,Active,1310919404
1253479881,22857967,EMEA Subsidiary,Direct,SMB,Financial,8131812.518559268,93308.98290817472,2025-12-09 04:26:11.645833 UTC,2025-01-14 05:15:41.645833 UTC,2024-08-17 02:11:11.645833 UTC,EMEA,Active,1310919404
793965164,22857967,NA Branch,Direct,Mid-Market,Technology,4.872741654711064e8,272113.33402061585,2025-09-01 13:24:27.695288 UTC,2025-01-05 18:59:27.695288 UTC,2024-04-11 16:37:54.695288 UTC,NA,At Risk,1310919404
2101679943,1807530463,EMEA Division,Channel,SMB,Healthcare,2.2283318985011395e7,26039.794837742873,2025-03-03 18:26:47.743719 UTC,2025-01-18 07:51:05.743719 UTC,2024-11-29 18:55:46.743719 UTC,EMEA,Active,1310919404
1874379640,1807530463,NA Business Unit,Channel,Mid-Market,Healthcare,6.115414006589022e7,290555.1502622084,2025-08-09 09:49:11.785005 UTC,2025-01-12 03:28:03.785005 UTC,2023-11-19 02:00:31.785005 UTC,NA,Active,1310919404
444360807,1347895265,NA Division,Distributor,Mid-Market,Financial,1.4942020353062078e8,192291.49176792998,2025-04-14 01:44:38.850905 UTC,2025-01-24 21:46:12.850905 UTC,2024-05-26 02:00:06.850905 UTC,NA,Active,1310919404
1570368304,1347895265,LATAM Business Unit,Channel,Mid-Market,Manufacturing,4.6468506489955753e8,455475.3909641581,2025-10-11 13:08:59.911164 UTC,2025-01-17 18:18:08.911164 UTC,2023-07-20 21:39:41.911164 UTC,LATAM,Active,1310919404
2108208643,1347895265,NA Branch,Direct,Mid-Market,Healthcare,3.7530380449976516e8,445958.58034018835,2025-08-18 16:33:57.974208 UTC,2025-01-22 18:27:11.974208 UTC,2024-08-18 05:29:22.974208 UTC,NA,Active,1310919404
881963059,1347895265,EMEA Branch,Direct,SMB,Retail,1.7773254773925003e7,43950.833754165134,2025-03-28 11:10:12.033216 UTC,2025-01-13 22:19:31.033216 UTC,2023-03-25 12:47:16.033216 UTC,EMEA,Active,1310919404
428679416,1282858110,NA Branch,Channel,Mid-Market,Manufacturing,3.2619884879842687e8,287409.0802734854,2025-11-16 03:11:13.106099 UTC,2025-01-19 20:59:29.106099 UTC,2024-08-16 01:55:49.106099 UTC,NA,Active,1310919404
1073889550,1282858110,NA Business Unit,Direct,SMB,Retail,2.8606317546732206e7,69156.21406966588,2025-07-14 06:35:40.165751 UTC,2025-01-13 04:08:00.165751 UTC,2024-06-13 06:22:54.165751 UTC,NA,At Risk,1310919404
438799507,1282858110,APAC Business Unit,Distributor,Mid-Market,Healthcare,4.8765764285608757e8,224095.7097179914,2025-12-20 08:24:29.209178 UTC,,2023-12-25 06:50:32.209178 UTC,APAC,Churned,1310919404
503932121,1282858110,APAC Business Unit,Direct,Enterprise,Healthcare,1.8963818799311664e9,633333.9098006792,2025-05-16 00:26:00.256599 UTC,2025-01-23 18:06:58.256599 UTC,2023-04-18 13:25:19.256599 UTC,APAC,Active,1310919404
39751956,1282858110,EMEA Branch,Channel,Enterprise,Retail,1.6763458520659568e9,725247.5511111773,2026-01-03 11:00:34.315716 UTC,2025-01-17 01:36:40.315716 UTC,2024-09-14 03:22:35.315716 UTC,EMEA,Active,1310919404
1419366440,965660227,NA Business Unit,Channel,Mid-Market,Healthcare,3.8039051536737144e8,275065.8969150182,2025-10-08 09:03:22.354626 UTC,2025-01-12 20:36:05.354626 UTC,2023-06-10 18:05:58.354626 UTC,NA,At Risk,1310919404
582002388,965660227,NA Branch,Distributor,Enterprise,Manufacturing,1.8606949249536617e9,1249658.066979829,2025-02-26 01:10:05.394987 UTC,,2024-01-01 11:22:18.394987 UTC,NA,Churned,1310919404
1671035102,202854734,NA Subsidiary,Channel,SMB,Healthcare,9259947.0028213,51902.413215724504,2025-09-13 00:29:26.441561 UTC,2025-01-24 04:50:59.441561 UTC,2024-04-11 11:37:01.441561 UTC,NA,Active,1310919404
1065314299,202854734,APAC Business Unit,Channel,Enterprise,Financial,2.766345570069132e9,1304816.0575972348,2025-11-09 10:00:10.512232 UTC,2025-01-14 18:19:18.512232 UTC,2024-08-02 12:38:39.512232 UTC,APAC,Active,1310919404
285407040,1979652368,EMEA Division,Distributor,Mid-Market,Manufacturing,2.383123928593348e8,159322.54278606465,2025-11-17 15:17:10.583507 UTC,2025-01-24 16:27:11.583507 UTC,2023-12-20 13:14:18.583507 UTC,EMEA,Active,1310919404
1743885787,1979652368,EMEA Subsidiary,Channel,Enterprise,Manufacturing,2.3121458865213184e9,1185342.6601803303,2025-08-04 23:22:48.654089 UTC,2025-01-13 09:23:24.654089 UTC,2023-05-06 04:45:56.654089 UTC,EMEA,Active,1310919404
1942384211,1916576534,NA Division,Direct,Mid-Market,Retail,1.4152219769849762e8,104203.35347488718,2025-03-14 14:56:24.702527 UTC,2025-01-14 13:20:17.702527 UTC,2024-04-20 19:42:32.702527 UTC,NA,Active,1310919404
1849818748,1916576534,EMEA Subsidiary,Channel,Mid-Market,Technology,4.7658237265055734e8,115363.17558065368,2025-08-25 00:42:34.757238 UTC,2025-01-22 00:04:23.757238 UTC,2023-05-29 19:29:39.757238 UTC,EMEA,At Risk,1310919404
1260921297,1506583953,NA Subsidiary,Direct,Mid-Market,Technology,1.5349712127413005e8,306714.1984425382,2025-12-31 00:41:19.805858 UTC,2025-01-21 06:39:00.805858 UTC,2023-07-23 14:53:03.805858 UTC,NA,Active,1310919404
2046184909,1506583953,NA Business Unit,Channel,SMB,Manufacturing,8037225.75408002,74483.71114331068,2025-07-05 02:32:39.860287 UTC,2025-01-18 18:55:57.860287 UTC,2024-10-17 00:59:28.860287 UTC,NA,At Risk,1310919404
1301495411,1506583953,EMEA Subsidiary,Direct,Mid-Market,Technology,1.4169485338348082e8,359892.011418376,2025-08-18 15:21:22.9114 UTC,2025-01-18 07:36:07.9114 UTC,2024-10-28 17:16:46.9114 UTC,EMEA,Active,1310919404
