 ID, Account ID, Title, Type, Status, Version, Size, Format, Uploaded By, Uploaded At, Last Modified At, Expires At, Description
1746565371,769878675,Service Level Agreement,Contract,Final,1.3,2289665,DOCX,1224300936,2024-12-29 00:07:31.180832 UTC,2025-01-24 13:12:14.180832 UTC,2025-10-21 20:53:44.180832 UTC,Final version of Service Level Agreement
1242342605,769878675,Enterprise Solution Proposal,Proposal,In Review,0.1,1213980,PDF,81801061,2025-01-24 05:44:13.181 UTC,2025-01-11 00:21:09.181 UTC,,Under review - Enterprise Solution Proposal
703842129,769878675,Training Services Invoice,Invoice,Final,1.9,4745714,PDF,81801061,2024-11-15 10:35:29.181165 UTC,2025-01-24 17:06:42.181165 UTC,,Final version of Training Services Invoice
405301151,1142032887,Enterprise Solution Proposal,Proposal,Final,1.2,3829303,PDF,1029413620,2024-11-13 23:32:56.230484 UTC,2025-01-23 19:05:37.230484 UTC,,Final version of Enterprise Solution Proposal
430342259,1142032887,Custom Development Proposal,Proposal,Final,1.7,6617772,DOCX,517880878,2024-11-13 09:09:10.230676 UTC,2025-01-21 18:14:16.230676 UTC,,Final version of Custom Development Proposal
316344732,1142032887,Training Services Invoice,Invoice,Final,1.9,3271442,PDF,1398229709,2024-11-26 00:26:27.230839 UTC,2025-01-23 05:39:39.230839 UTC,,Final version of Training Services Invoice
688945157,1142032887,Data Processing Agreement,Contract,Draft,0.1,2044116,XLSX,1180861141,2024-12-04 10:01:15.230995 UTC,2024-12-31 14:17:53.230995 UTC,2025-10-30 11:53:24.230995 UTC,Draft version of Data Processing Agreement
1793888846,1142032887,Service Level Agreement,Contract,Final,1.9,9292075,PDF,289350603,2025-01-17 14:15:37.23116 UTC,2025-01-22 00:16:09.23116 UTC,2025-10-10 03:13:46.23116 UTC,Final version of Service Level Agreement
735998774,1142032887,Professional Services Invoice,Invoice,In Review,0.4,6201000,PDF,81801061,2025-01-20 22:00:09.231349 UTC,2025-01-16 23:52:48.231349 UTC,,Under review - Professional Services Invoice
588685870,1142032887,Service Level Agreement,Contract,Draft,0.5,3851001,PDF,1439420165,2024-12-21 05:35:28.231519 UTC,2024-12-26 01:43:06.231519 UTC,2026-01-21 23:02:20.231519 UTC,Draft version of Service Level Agreement
865707827,1142032887,Technical Documentation,Support,Draft,0.3,7366283,DOCX,1826904509,2025-01-10 07:52:54.231691 UTC,2025-01-07 22:29:56.231691 UTC,,Draft version of Technical Documentation
1194562001,1142032887,Data Processing Agreement,Contract,Archived,0.4,10254613,DOCX,1224300936,2024-11-22 12:13:56.231883 UTC,2025-01-16 17:39:05.231883 UTC,2026-01-08 06:41:15.231883 UTC,Archived copy of Data Processing Agreement
649019392,1142032887,Privacy Policy,Legal,In Review,0.3,3368730,DOCX,517880878,2024-12-05 11:06:33.232066 UTC,2025-01-19 17:04:21.232066 UTC,2026-02-11 04:38:25.232066 UTC,Under review - Privacy Policy
506213348,1344902161,Technical Documentation,Support,Draft,0.5,5874003,XLSX,951775129,2024-12-17 01:56:44.282862 UTC,2025-01-21 16:18:49.282862 UTC,,Draft version of Technical Documentation
1362124947,1344902161,Custom Development Proposal,Proposal,Final,1.1,491998,PDF,895334175,2025-01-15 19:56:33.283063 UTC,2025-01-21 18:45:10.283063 UTC,,Final version of Custom Development Proposal
1571303219,1344902161,Enterprise Solution Proposal,Proposal,Final,1.8,2811803,PDF,126591564,2024-10-31 00:05:16.283227 UTC,2025-01-18 04:15:54.283227 UTC,,Final version of Enterprise Solution Proposal
1287432885,1344902161,Technical Documentation,Support,Draft,0.4,9968475,PDF,742365891,2025-01-05 12:17:57.283392 UTC,2025-01-21 08:52:00.283392 UTC,,Draft version of Technical Documentation
624768260,1344902161,Monthly Subscription Invoice,Invoice,Final,1.8,4509319,PDF,951775129,2024-10-31 02:24:30.283542 UTC,2025-01-21 10:29:38.283542 UTC,,Final version of Monthly Subscription Invoice
1545807382,1344902161,Professional Services Invoice,Invoice,Final,1.4,8848475,PDF,2138075717,2025-01-24 03:25:44.2837 UTC,2025-01-20 16:59:41.2837 UTC,,Final version of Professional Services Invoice
1284475938,1344902161,Software License Agreement,Contract,Final,1.7,1669486,PDF,374742912,2024-11-20 12:49:54.283853 UTC,2025-01-21 17:17:26.283853 UTC,2025-10-10 08:02:33.283853 UTC,Final version of Software License Agreement
632985254,2099648649,Master Service Agreement,Contract,Final,1.1,3094283,PDF,643793315,2025-01-23 20:27:00.343571 UTC,2025-01-24 15:12:27.343571 UTC,2025-09-03 22:13:56.343571 UTC,Final version of Master Service Agreement
1602830230,2099648649,Implementation Guide,Support,Final,1.8,6458342,PDF,1224300936,2025-01-17 10:12:39.343762 UTC,2025-01-19 14:40:25.343762 UTC,,Final version of Implementation Guide
623864553,2099648649,Professional Services Invoice,Invoice,Archived,0.8,6568532,PDF,1507141089,2024-11-17 21:21:09.343922 UTC,2025-01-16 08:58:51.343922 UTC,,Archived copy of Professional Services Invoice
940113892,2099648649,Data Processing Agreement,Contract,Final,1.7,5734341,DOCX,1398229709,2024-12-16 08:22:56.344085 UTC,2025-01-21 16:07:56.344085 UTC,2025-08-18 01:23:48.344085 UTC,Final version of Data Processing Agreement
792773259,2099648649,Implementation Project Scope,Proposal,Final,1.9,486012,DOCX,1224300936,2025-01-21 11:15:48.344254 UTC,2025-01-21 09:17:25.344254 UTC,,Final version of Implementation Project Scope
263356044,2099648649,Implementation Project Scope,Proposal,Final,1.3,3631988,PDF,1816148921,2025-01-19 11:33:36.34442 UTC,2025-01-22 12:48:19.34442 UTC,,Final version of Implementation Project Scope
1304538569,2099648649,Implementation Project Scope,Proposal,Draft,0.3,9989275,PDF,943289491,2024-11-05 14:51:04.344586 UTC,2025-01-15 17:02:06.344586 UTC,,Draft version of Implementation Project Scope
2076893965,2099648649,Service Level Agreement,Contract,Final,1.5,6499766,PDF,1837155942,2024-12-17 04:23:26.344748 UTC,2025-01-24 22:40:46.344748 UTC,2025-08-14 08:13:25.344748 UTC,Final version of Service Level Agreement
1004052005,2099648649,Software License Agreement,Contract,Final,1.5,4957325,PDF,1180861141,2024-10-31 21:43:26.344932 UTC,2025-01-22 13:59:24.344932 UTC,2025-09-22 21:46:58.344932 UTC,Final version of Software License Agreement
835872303,2099648649,Implementation Project Scope,Proposal,Final,1.3,3624104,DOCX,81801061,2024-12-09 12:49:02.345101 UTC,2025-01-21 19:16:28.345101 UTC,,Final version of Implementation Project Scope
984675062,2109408773,API Documentation,Support,Final,1.9,3872533,XLSX,1507141089,2024-12-09 09:26:58.396986 UTC,2025-01-22 12:36:04.396986 UTC,,Final version of API Documentation
1152300147,2109408773,Privacy Policy,Legal,Final,1.9,3619200,PDF,1997519883,2024-11-02 01:41:46.397163 UTC,2025-01-22 12:23:32.397163 UTC,2026-10-27 08:59:55.397163 UTC,Final version of Privacy Policy
1149963399,2109408773,Service Level Agreement,Contract,Final,1.1,9472350,PDF,1029413620,2024-12-07 10:45:18.397338 UTC,2025-01-19 16:42:01.397338 UTC,2025-08-06 04:53:12.397338 UTC,Final version of Service Level Agreement
174953854,2109408773,Training Services Invoice,Invoice,Archived,0.2,10474502,XLSX,1816148921,2024-11-12 00:51:23.397517 UTC,2025-01-11 07:55:35.397517 UTC,,Archived copy of Training Services Invoice
2096159862,2109408773,Terms of Service,Legal,Final,1.5,7407210,PDF,519770588,2024-12-05 15:17:05.397694 UTC,2025-01-19 11:50:38.397694 UTC,2026-11-13 22:14:07.397694 UTC,Final version of Terms of Service
987041208,2109408773,Implementation Guide,Support,Final,1.1,6933657,PDF,1507141089,2024-11-04 04:01:42.397861 UTC,2025-01-22 15:34:31.397861 UTC,,Final version of Implementation Guide
885216804,2109408773,Custom Development Proposal,Proposal,Archived,0.9,9600574,PDF,374742912,2024-11-14 20:56:22.398077 UTC,2025-01-17 00:40:07.398077 UTC,,Archived copy of Custom Development Proposal
1932105138,492273036,User Guide,Support,Final,1.7,9033434,DOCX,1180861141,2025-01-09 17:16:16.458642 UTC,2025-01-24 19:59:19.458642 UTC,,Final version of User Guide
1946820292,492273036,Enterprise Solution Proposal,Proposal,Final,1.8,8908613,XLSX,1180861141,2024-11-07 21:27:29.458809 UTC,2025-01-23 09:02:36.458809 UTC,,Final version of Enterprise Solution Proposal
1304400779,492273036,Technical Documentation,Support,In Review,0.5,3179868,DOCX,1816148921,2024-11-21 23:19:09.458969 UTC,2025-01-21 01:21:16.458969 UTC,,Under review - Technical Documentation
2137097325,492273036,API Documentation,Support,Final,1.4,2141381,XLSX,943289491,2024-12-10 03:27:35.459133 UTC,2025-01-20 12:54:20.459133 UTC,,Final version of API Documentation
1719986249,492273036,Service Level Agreement,Contract,Final,1.6,7836415,XLSX,126591564,2024-12-25 14:40:39.459278 UTC,2025-01-22 23:10:39.459278 UTC,2025-11-13 10:43:55.459278 UTC,Final version of Service Level Agreement
1158219510,492273036,Implementation Guide,Support,In Review,0.5,530187,PDF,126591564,2024-12-25 17:50:52.459445 UTC,2025-01-24 07:57:41.459445 UTC,,Under review - Implementation Guide
862684592,492273036,Technical Documentation,Support,Final,1.9,2381389,PDF,1608037409,2024-11-29 22:29:47.459601 UTC,2025-01-23 21:44:40.459601 UTC,,Final version of Technical Documentation
631106853,1599025890,Training Services Invoice,Invoice,Final,1.8,4085656,PDF,1029413620,2024-11-30 09:55:18.510614 UTC,2025-01-18 14:50:05.510614 UTC,,Final version of Training Services Invoice
155460996,1599025890,Service Level Agreement,Contract,Final,1.9,10306344,DOCX,1029413620,2025-01-18 21:52:23.510794 UTC,2025-01-18 20:15:28.510794 UTC,2025-10-24 18:53:42.510794 UTC,Final version of Service Level Agreement
1678537721,1599025890,Monthly Subscription Invoice,Invoice,Draft,0.3,8347118,PDF,643793315,2024-11-17 13:26:19.510968 UTC,2024-12-29 13:25:14.510968 UTC,,Draft version of Monthly Subscription Invoice
795129352,1599025890,Technical Documentation,Support,In Review,0.7,10334992,PDF,1997519883,2025-01-19 10:24:33.511142 UTC,2025-01-23 10:18:15.511142 UTC,,Under review - Technical Documentation
1054544726,1599025890,Software License Agreement,Contract,Final,1.7,4276209,PDF,1398229709,2024-11-09 13:01:23.511297 UTC,2025-01-18 23:30:29.511297 UTC,2025-08-29 09:33:38.511297 UTC,Final version of Software License Agreement
1758514726,1599025890,Security Policy,Legal,Final,1.9,10095417,DOCX,840859815,2025-01-13 07:40:48.511501 UTC,2025-01-21 00:35:23.511501 UTC,2026-06-07 05:03:39.511501 UTC,Final version of Security Policy
742812568,2013239311,Software License Agreement,Contract,Final,1.1,106293,PDF,1180861141,2024-12-11 21:28:12.566439 UTC,2025-01-22 23:03:27.566439 UTC,2025-09-17 15:14:11.566439 UTC,Final version of Software License Agreement
1464227763,2013239311,Implementation Guide,Support,Final,1.9,844234,PDF,289350603,2024-11-12 14:41:17.566631 UTC,2025-01-22 05:41:01.566631 UTC,,Final version of Implementation Guide
1891559963,2013239311,Software License Agreement,Contract,Final,1.1,8756326,DOCX,1507141089,2024-11-04 16:47:49.56679 UTC,2025-01-24 05:12:49.56679 UTC,2025-12-14 07:29:17.56679 UTC,Final version of Software License Agreement
1193175541,2013239311,Professional Services Invoice,Invoice,Final,1.2,2377797,PDF,1029413620,2024-12-17 16:40:28.566968 UTC,2025-01-24 00:32:08.566968 UTC,,Final version of Professional Services Invoice
2092365932,2013239311,Professional Services Invoice,Invoice,Final,1.6,4494052,PDF,1608037409,2024-12-29 07:29:57.567135 UTC,2025-01-19 15:32:52.567135 UTC,,Final version of Professional Services Invoice
2054695686,2013239311,Software License Agreement,Contract,Final,1.7,8192055,DOCX,1398229709,2024-11-22 04:40:26.567303 UTC,2025-01-22 08:40:02.567303 UTC,2025-08-17 11:02:57.567303 UTC,Final version of Software License Agreement
995825298,2013239311,Technical Documentation,Support,Final,1.7,3140372,PDF,840859815,2025-01-07 03:59:23.567475 UTC,2025-01-23 19:28:13.567475 UTC,,Final version of Technical Documentation
422615562,2013239311,Custom Development Proposal,Proposal,Archived,0.3,6247087,PDF,1157138452,2024-12-08 22:01:55.567641 UTC,2025-01-11 12:40:40.567641 UTC,,Archived copy of Custom Development Proposal
452590781,1821211846,Master Service Agreement,Contract,Final,1.6,2015204,DOCX,951775129,2024-10-30 23:35:03.6321 UTC,2025-01-22 00:20:41.6321 UTC,2025-11-02 18:32:52.6321 UTC,Final version of Master Service Agreement
852468380,1821211846,Custom Development Proposal,Proposal,Final,1.3,3152806,PDF,951775129,2024-11-02 04:20:25.632303 UTC,2025-01-20 20:30:02.632303 UTC,,Final version of Custom Development Proposal
1863215276,1821211846,Software License Agreement,Contract,Final,1.4,175489,PDF,1826904509,2024-11-21 20:45:00.632474 UTC,2025-01-20 01:41:46.632474 UTC,2025-09-01 04:13:28.632474 UTC,Final version of Software License Agreement
804368661,1821211846,Service Level Agreement,Contract,Draft,0.5,671568,PDF,1050508733,2024-11-30 04:28:43.632642 UTC,2024-12-28 15:48:19.632642 UTC,2025-09-19 13:23:28.632642 UTC,Draft version of Service Level Agreement
1699528468,1821211846,Data Processing Agreement,Contract,Final,1.9,2830163,PDF,374742912,2024-11-18 04:17:27.632811 UTC,2025-01-22 20:34:37.632811 UTC,2025-12-17 03:40:40.632811 UTC,Final version of Data Processing Agreement
722398573,1821211846,Implementation Guide,Support,Draft,0.1,9233580,PDF,1826904509,2024-10-31 11:03:15.63298 UTC,2025-01-17 02:38:44.63298 UTC,,Draft version of Implementation Guide
1291039897,1897301659,Professional Services Invoice,Invoice,In Review,0.7,4888118,PDF,519770588,2024-12-17 08:24:37.702651 UTC,2025-01-12 11:09:36.702651 UTC,,Under review - Professional Services Invoice
630875386,1897301659,Software License Agreement,Contract,Final,1.2,3304276,DOCX,126591564,2024-11-30 09:06:58.702905 UTC,2025-01-20 22:12:26.702905 UTC,2025-08-03 22:12:12.702905 UTC,Final version of Software License Agreement
1325480745,1897301659,Software License Agreement,Contract,Final,1.2,6733654,PDF,1826904509,2024-12-01 20:27:12.703458 UTC,2025-01-23 13:13:15.703458 UTC,2025-08-08 05:33:38.703458 UTC,Final version of Software License Agreement
1263420804,1897301659,API Documentation,Support,Archived,0.3,184602,PDF,1157138452,2024-12-09 23:51:57.703696 UTC,2025-01-23 09:46:48.703696 UTC,,Archived copy of API Documentation
1301130773,1897301659,Privacy Policy,Legal,Final,1.1,9278761,DOCX,840859815,2025-01-20 14:13:51.704208 UTC,2025-01-24 17:28:35.704208 UTC,2026-09-19 22:20:36.704208 UTC,Final version of Privacy Policy
1403416697,1897301659,Monthly Subscription Invoice,Invoice,Final,1.2,7012246,XLSX,1439420165,2024-12-09 13:44:50.704802 UTC,2025-01-19 23:59:36.704802 UTC,,Final version of Monthly Subscription Invoice
1088219042,1897301659,Monthly Subscription Invoice,Invoice,Final,1.1,1244753,DOCX,2138075717,2024-12-03 11:52:09.705844 UTC,2025-01-24 18:28:34.705844 UTC,,Final version of Monthly Subscription Invoice
1211195586,1897301659,Professional Services Invoice,Invoice,Draft,0.1,5902128,DOCX,1029413620,2025-01-08 22:02:51.706426 UTC,2025-01-09 13:59:04.706426 UTC,,Draft version of Professional Services Invoice
392561397,272643655,Enterprise Solution Proposal,Proposal,Final,1.3,6072414,PDF,1837155942,2024-11-21 22:27:20.913718 UTC,2025-01-24 22:16:58.913718 UTC,,Final version of Enterprise Solution Proposal
1604209892,272643655,API Documentation,Support,Final,1.7,737139,PDF,1398229709,2024-12-04 04:42:25.913932 UTC,2025-01-21 01:06:32.913932 UTC,,Final version of API Documentation
16762448,272643655,Service Level Agreement,Contract,Archived,0.7,9392300,PDF,1398229709,2024-12-22 08:16:13.914115 UTC,2025-01-19 12:07:35.914115 UTC,2025-07-27 08:28:31.914115 UTC,Archived copy of Service Level Agreement
79087644,272643655,Data Processing Agreement,Contract,Draft,0.6,7651135,PDF,951775129,2024-12-28 23:44:50.914302 UTC,2024-12-30 18:25:12.914302 UTC,2025-10-27 10:54:08.914302 UTC,Draft version of Data Processing Agreement
741147898,272643655,Enterprise Solution Proposal,Proposal,Final,1.8,7963198,PDF,840859815,2024-11-07 15:25:09.914497 UTC,2025-01-21 09:13:30.914497 UTC,,Final version of Enterprise Solution Proposal
465651940,272643655,Implementation Guide,Support,In Review,0.3,8422285,PDF,1997519883,2025-01-09 10:52:52.914683 UTC,2025-01-17 10:13:56.914683 UTC,,Under review - Implementation Guide
1329741210,272643655,Technical Documentation,Support,Draft,0.2,3183206,XLSX,519770588,2025-01-02 15:18:56.914861 UTC,2025-01-10 14:04:16.914861 UTC,,Draft version of Technical Documentation
1535791180,272643655,Service Level Agreement,Contract,Final,1.9,2212074,PDF,840859815,2024-11-03 08:58:35.915136 UTC,2025-01-22 15:55:14.915136 UTC,2025-09-06 16:07:34.915136 UTC,Final version of Service Level Agreement
1389059661,272643655,Technical Documentation,Support,Archived,0.5,8939293,PDF,943289491,2024-11-18 17:56:54.915479 UTC,2025-01-23 21:09:58.915479 UTC,,Archived copy of Technical Documentation
1365595169,462328467,Monthly Subscription Invoice,Invoice,Final,1.4,4268998,PDF,519770588,2024-12-29 17:29:18.994925 UTC,2025-01-18 19:34:36.994925 UTC,,Final version of Monthly Subscription Invoice
301229828,462328467,Training Services Invoice,Invoice,In Review,0.6,7291103,PDF,943289491,2024-11-23 08:56:38.995092 UTC,2025-01-14 18:58:00.995092 UTC,,Under review - Training Services Invoice
388031340,462328467,Enterprise Solution Proposal,Proposal,Final,1.8,267531,DOCX,1157138452,2024-11-29 04:40:05.995244 UTC,2025-01-18 17:59:19.995244 UTC,,Final version of Enterprise Solution Proposal
1667418860,462328467,Implementation Project Scope,Proposal,Final,1.4,4603832,PDF,374742912,2025-01-01 17:40:44.995412 UTC,2025-01-21 19:01:32.995412 UTC,,Final version of Implementation Project Scope
2122240145,462328467,Enterprise Solution Proposal,Proposal,Final,1.6,660677,XLSX,1816148921,2024-11-24 13:06:31.995564 UTC,2025-01-22 04:32:12.995564 UTC,,Final version of Enterprise Solution Proposal
1266243964,462328467,Implementation Project Scope,Proposal,Final,1.6,1805971,PDF,81801061,2024-11-25 10:38:02.995718 UTC,2025-01-23 23:53:40.995718 UTC,,Final version of Implementation Project Scope
1936586073,462328467,Implementation Guide,Support,In Review,0.6,6133549,PDF,895334175,2024-10-30 04:55:35.995867 UTC,2025-01-11 23:45:33.995867 UTC,,Under review - Implementation Guide
1227045887,462328467,Professional Services Invoice,Invoice,Final,1.3,1427530,DOCX,943289491,2025-01-05 09:36:34.996017 UTC,2025-01-20 20:25:35.996017 UTC,,Final version of Professional Services Invoice
1335970406,220048013,Training Services Invoice,Invoice,Final,1.4,8454279,PDF,289350603,2025-01-01 05:47:37.050113 UTC,2025-01-22 17:25:00.050113 UTC,,Final version of Training Services Invoice
1262291496,220048013,Service Level Agreement,Contract,Final,1.6,6698554,PDF,1050508733,2024-11-09 04:36:35.050323 UTC,2025-01-19 23:47:12.050323 UTC,2025-10-23 16:46:07.050323 UTC,Final version of Service Level Agreement
320608413,220048013,Master Service Agreement,Contract,In Review,0.8,526103,PDF,1398229709,2024-12-03 07:43:14.050561 UTC,2025-01-14 06:50:51.050561 UTC,2026-01-04 14:40:25.050561 UTC,Under review - Master Service Agreement
697201892,220048013,Training Services Invoice,Invoice,In Review,0.2,7017102,PDF,1029413620,2024-11-16 06:06:19.050762 UTC,2025-01-24 04:46:37.050762 UTC,,Under review - Training Services Invoice
1078800168,220048013,Technical Documentation,Support,Final,1.3,3954412,XLSX,840859815,2024-11-04 05:07:45.050949 UTC,2025-01-19 22:29:40.050949 UTC,,Final version of Technical Documentation
1241870474,220048013,Master Service Agreement,Contract,Draft,0.5,7070636,DOCX,1050508733,2024-11-18 04:41:07.051124 UTC,2025-01-06 13:49:16.051124 UTC,2025-10-01 02:57:03.051124 UTC,Draft version of Master Service Agreement
1749906465,220048013,Custom Development Proposal,Proposal,Draft,0.7,2283672,PDF,643793315,2025-01-10 07:16:13.051303 UTC,2025-01-10 15:38:04.051303 UTC,,Draft version of Custom Development Proposal
185667863,220048013,Master Service Agreement,Contract,Archived,0.6,4194411,PDF,517880878,2024-11-27 08:31:18.051475 UTC,2025-01-21 08:56:20.051475 UTC,2025-12-24 09:51:53.051475 UTC,Archived copy of Master Service Agreement
929941625,387127411,Enterprise Solution Proposal,Proposal,Final,1.6,939326,PDF,1224300936,2025-01-19 15:53:13.107552 UTC,2025-01-19 01:17:27.107552 UTC,,Final version of Enterprise Solution Proposal
134231674,387127411,Professional Services Invoice,Invoice,Archived,0.1,2731152,PDF,2138075717,2024-12-07 06:03:15.107749 UTC,2025-01-18 17:58:22.107749 UTC,,Archived copy of Professional Services Invoice
1838854746,387127411,Training Services Invoice,Invoice,Draft,0.3,5458412,PDF,1180861141,2024-11-01 13:45:13.107931 UTC,2024-12-29 04:48:47.107931 UTC,,Draft version of Training Services Invoice
1226660042,387127411,Professional Services Invoice,Invoice,Final,1.9,5259031,DOCX,1180861141,2024-12-12 10:22:17.108108 UTC,2025-01-18 11:31:54.108108 UTC,,Final version of Professional Services Invoice
593993566,387127411,Data Processing Agreement,Contract,Final,1.6,5472699,PDF,943289491,2024-12-28 14:10:01.108279 UTC,2025-01-24 15:56:54.108279 UTC,2025-11-19 00:37:58.108279 UTC,Final version of Data Processing Agreement
944270198,387127411,Technical Documentation,Support,Draft,0.5,383039,DOCX,517880878,2024-12-15 12:12:40.108453 UTC,2025-01-17 04:36:23.108453 UTC,,Draft version of Technical Documentation
25463543,1251067829,Implementation Guide,Support,Archived,0.9,6249256,PDF,81801061,2024-12-14 02:17:11.156001 UTC,2025-01-12 12:15:04.156001 UTC,,Archived copy of Implementation Guide
409824452,1251067829,API Documentation,Support,Final,1.2,4074066,XLSX,517880878,2024-12-25 09:21:59.156209 UTC,2025-01-24 18:17:41.156209 UTC,,Final version of API Documentation
1439333267,1251067829,Custom Development Proposal,Proposal,Final,1.3,2171661,DOCX,1180861141,2025-01-22 09:28:04.156407 UTC,2025-01-22 03:18:28.156407 UTC,,Final version of Custom Development Proposal
2038780872,1251067829,Master Service Agreement,Contract,Final,1.2,5815995,PDF,643793315,2024-12-31 20:51:02.156586 UTC,2025-01-22 00:17:18.156586 UTC,2026-01-19 15:40:28.156586 UTC,Final version of Master Service Agreement
1715203304,1251067829,Training Services Invoice,Invoice,Final,1.4,4716180,DOCX,1608037409,2024-12-18 22:54:12.156766 UTC,2025-01-22 09:21:26.156766 UTC,,Final version of Training Services Invoice
1143054813,1251067829,Enterprise Solution Proposal,Proposal,Archived,0.8,8732748,PDF,126591564,2024-12-12 12:43:02.156939 UTC,2025-01-23 21:12:03.156939 UTC,,Archived copy of Enterprise Solution Proposal
1650587955,1251067829,Implementation Guide,Support,Draft,0.7,4705211,PDF,519770588,2025-01-20 14:22:20.157194 UTC,2025-01-22 05:56:18.157194 UTC,,Draft version of Implementation Guide
1234673930,1251067829,Professional Services Invoice,Invoice,Final,1.3,3337412,DOCX,81801061,2025-01-07 09:16:59.15736 UTC,2025-01-18 15:14:33.15736 UTC,,Final version of Professional Services Invoice
679564272,1760008311,Software License Agreement,Contract,Final,1.6,7631125,PDF,1837155942,2024-12-08 05:41:20.214338 UTC,2025-01-22 22:41:29.214338 UTC,2025-07-26 22:17:52.214338 UTC,Final version of Software License Agreement
1551793751,1760008311,Master Service Agreement,Contract,Draft,0.8,2633224,PDF,1837155942,2024-12-11 09:18:12.214523 UTC,2025-01-19 08:13:25.214523 UTC,2025-09-02 05:04:23.214523 UTC,Draft version of Master Service Agreement
704200195,1760008311,Custom Development Proposal,Proposal,Archived,0.1,986093,PDF,1997519883,2024-11-20 01:41:38.214707 UTC,2025-01-14 00:47:16.214707 UTC,,Archived copy of Custom Development Proposal
1434801561,1760008311,Monthly Subscription Invoice,Invoice,Final,1.7,568836,PDF,1398229709,2024-12-20 19:28:23.214878 UTC,2025-01-18 09:50:39.214878 UTC,,Final version of Monthly Subscription Invoice
149767547,1760008311,Enterprise Solution Proposal,Proposal,Final,1.8,3662173,PDF,126591564,2024-12-20 17:11:04.215057 UTC,2025-01-22 10:52:49.215057 UTC,,Final version of Enterprise Solution Proposal
785146853,1760008311,Data Processing Agreement,Contract,Final,1.4,3606533,PDF,1224300936,2024-11-04 09:23:08.215229 UTC,2025-01-20 03:26:32.215229 UTC,2025-10-07 13:07:48.215229 UTC,Final version of Data Processing Agreement
1783015131,1760008311,Training Services Invoice,Invoice,Final,1.3,4338186,PDF,1050508733,2024-12-04 07:00:35.215413 UTC,2025-01-24 01:52:59.215413 UTC,,Final version of Training Services Invoice
851111550,1760008311,Implementation Project Scope,Proposal,Final,1.3,3047359,PDF,1997519883,2024-12-25 23:08:33.215577 UTC,2025-01-20 14:48:22.215577 UTC,,Final version of Implementation Project Scope
1196020346,563759707,Custom Development Proposal,Proposal,Final,1.2,6232193,DOCX,289350603,2024-11-10 19:53:37.276442 UTC,2025-01-23 09:40:57.276442 UTC,,Final version of Custom Development Proposal
1056162949,563759707,Software License Agreement,Contract,Final,1.7,8471728,DOCX,1837155942,2024-11-04 12:22:14.276667 UTC,2025-01-23 20:56:51.276667 UTC,2025-12-11 14:37:54.276667 UTC,Final version of Software License Agreement
74582037,563759707,Custom Development Proposal,Proposal,Draft,0.4,8986425,PDF,1826904509,2024-12-30 15:25:05.276833 UTC,2025-01-06 09:15:09.276833 UTC,,Draft version of Custom Development Proposal
