 Degradation Factor ID, Health Assessment ID, Factor
2024967857,1959644101,Rust
2090155730,1959644101,Rust
1052483687,1959644101,Weather Damage
78508627,1790614966,Electrical Stress
1716932614,1790614966,Age
37659627,1790614966,Electrical Stress
1754056104,1790614966,Electrical Stress
368923699,1044340874,Environmental Exposure
1263358456,1044340874,Physical Damage
567823522,1044340874,Wear
1499754903,1044340874,Electrical Stress
1578913054,1044340874,Physical Damage
1477047454,867108430,Wear
1333007884,867108430,Rust
978282026,867108430,Thermal Stress
1780205713,1528179456,Electrical Stress
1820494842,1528179456,Thermal Stress
835357284,1528179456,Age
187787742,1528179456,Physical Damage
857061711,1872203273,Rust
1952564945,1872203273,Wear
916051444,1872203273,Environmental Exposure
1246855869,486083487,Weather Damage
1391670522,486083487,Environmental Exposure
2062533653,486083487,Rust
1971614647,486083487,Weather Damage
945875485,1784481040,Weather Damage
1979522885,1784481040,Physical Damage
1970539270,1784481040,Age
762167308,1784481040,Weather Damage
904958044,579181292,Age
772125940,579181292,Wear
1808538987,579181292,Rust
1010700491,579181292,Age
1160695233,579181292,Rust
2053146022,1204208215,Physical Damage
188264016,1204208215,Thermal Stress
2090411851,1302616315,Rust
447662155,1302616315,Environmental Exposure
265238096,1203129571,Thermal Stress
1036664274,2004363550,Physical Damage
986817873,2004363550,Thermal Stress
1488764362,2004363550,Wear
1553571550,2004363550,Weather Damage
616064962,2004363550,Physical Damage
1543933116,1442129039,Environmental Exposure
2015444869,1442129039,Weather Damage
85552154,1442129039,Environmental Exposure
1349888953,1442129039,Electrical Stress
1910313435,551065020,Weather Damage
127011220,551065020,Wear
443601316,551065020,Electrical Stress
1525039453,1624720937,Wear
1877583291,1198907508,Wear
1997714345,1198907508,Electrical Stress
825194012,1198907508,Thermal Stress
454501920,1198907508,Weather Damage
1761973992,663537898,Wear
222648816,663537898,Electrical Stress
2037716560,663537898,Physical Damage
1931259692,663537898,Environmental Exposure
570911308,187811136,Age
1984371264,187811136,Weather Damage
58088089,187811136,Wear
1397885084,1450495271,Wear
1191743708,1450495271,Wear
1713473771,116302919,Weather Damage
530728116,116302919,Thermal Stress
1905890664,116302919,Thermal Stress
618804325,116302919,Environmental Exposure
654987163,116302919,Physical Damage
1928674244,391053654,Environmental Exposure
699243418,391053654,Thermal Stress
636737838,391053654,Physical Damage
2135782257,391053654,Physical Damage
2094070432,885208914,Weather Damage
764490591,885208914,Electrical Stress
1380207007,885208914,Wear
2131690913,885208914,Environmental Exposure
1947661580,885208914,Rust
260145342,1925026016,Environmental Exposure
1747950122,1925026016,Thermal Stress
1903064055,1925026016,Weather Damage
640598904,1925026016,Age
717798199,1762168279,Weather Damage
1246475652,1762168279,Thermal Stress
461386121,1762168279,Thermal Stress
1434382666,1782578155,Thermal Stress
876399555,1782578155,Wear
621923491,1782578155,Wear
1286679616,1782578155,Physical Damage
563377654,1782578155,Electrical Stress
21802326,1112897597,Thermal Stress
1801618757,1112897597,Environmental Exposure
344643361,1112897597,Electrical Stress
1936590958,1112897597,Wear
886765639,1112897597,Physical Damage
487512408,1590734543,Rust
154011800,1590734543,Wear
1817471234,1590734543,Age
1858551560,840148123,Wear
257953666,840148123,Wear
1691958444,840148123,Wear
2097437624,840148123,Electrical Stress
130341220,350642022,Electrical Stress
1225018343,350642022,Electrical Stress
1461721893,350642022,Rust
600072996,350642022,Thermal Stress
1584623359,1571971944,Thermal Stress
1421753262,1571971944,Thermal Stress
1907721081,1571971944,Physical Damage
356093160,1571971944,Weather Damage
1880395840,2090940833,Rust
340183818,2090940833,Environmental Exposure
250847816,2090940833,Rust
2010701909,2090940833,Environmental Exposure
806796348,2090940833,Weather Damage
1042512587,852646005,Age
833547111,852646005,Environmental Exposure
1058973781,852646005,Thermal Stress
1693431842,852646005,Wear
860926574,852646005,Rust
702795732,357197447,Electrical Stress
866098918,357197447,Rust
2085654905,357197447,Rust
645265593,1972472655,Age
1800599040,1972472655,Electrical Stress
933663235,1972472655,Age
1684067311,1972472655,Environmental Exposure
546508495,1459246285,Age
319540822,1459246285,Physical Damage
1261999460,1459246285,Electrical Stress
1620917770,1459246285,Age
1823697145,554651433,Wear
610389449,554651433,Weather Damage
1399376386,554651433,Age
119858931,554651433,Age
854725151,457372529,Electrical Stress
1509768147,457372529,Weather Damage
1635865808,457372529,Physical Damage
1526615324,709029461,Thermal Stress
2082820277,709029461,Physical Damage
1117287239,709029461,Wear
857407074,1783775468,Age
1053951510,1783775468,Physical Damage
1817427346,1783775468,Wear
721707253,1783775468,Wear
1734152554,1202383343,Rust
1974712701,1202383343,Thermal Stress
1200397402,1202383343,Age
1023225257,1173262924,Thermal Stress
1567352889,1173262924,Physical Damage
1921283363,1173262924,Physical Damage
824933543,1173262924,Rust
574335552,1173262924,Thermal Stress
984402215,535966699,Electrical Stress
615704694,535966699,Rust
628470831,535966699,Age
1932910952,535966699,Weather Damage
1827861751,535966699,Physical Damage
1027849436,2110713666,Weather Damage
233618637,2110713666,Wear
1200811143,2110713666,Weather Damage
22316994,2110713666,Thermal Stress
1170776233,2110713666,Thermal Stress
991913406,1675285773,Environmental Exposure
391569811,1675285773,Electrical Stress
267596882,1675285773,Thermal Stress
1245984312,1675285773,Electrical Stress
40601922,1675285773,Physical Damage
450974218,1431142157,Rust
1244757239,1431142157,Environmental Exposure
1532597026,1431142157,Weather Damage
1271009715,1431142157,Weather Damage
2021883949,398040138,Age
1522855421,398040138,Age
920484402,398040138,Age
1259380227,398040138,Wear
593340960,2037143060,Rust
284995001,2037143060,Thermal Stress
826439526,2037143060,Age
2073949149,2037143060,Wear
2021407578,2037143060,Weather Damage
2040930786,667150076,Thermal Stress
1206841528,667150076,Wear
262181496,667150076,Age
1046432088,667150076,Rust
1664126074,510455715,Wear
1124012872,510455715,Environmental Exposure
1328246423,1637788361,Rust
1524398262,1637788361,Age
1562961462,1637788361,Physical Damage
789620074,1637788361,Rust
1119374277,1637788361,Age
330564295,960120139,Electrical Stress
911433953,960120139,Weather Damage
72815920,960120139,Electrical Stress
169815161,1835012238,Weather Damage
649618973,1835012238,Electrical Stress
1679207715,1835012238,Rust
1060525195,1835012238,Age
73030196,1750351452,Weather Damage
29651907,1750351452,Rust
1303842885,1750351452,Wear
836068415,1367508249,Physical Damage
355445293,1367508249,Weather Damage
232268822,1367508249,Age
130497891,702521546,Age
233243251,702521546,Thermal Stress
391276824,702521546,Wear
814482947,364378093,Rust
1227289032,364378093,Electrical Stress
345672718,364378093,Weather Damage
762831690,931715724,Physical Damage
2126157209,931715724,Wear
1948079259,931715724,Rust
917268120,931715724,Thermal Stress
119239529,599106263,Physical Damage
545246867,599106263,Electrical Stress
1900904690,599106263,Environmental Exposure
1742434613,599106263,Rust
680204119,599106263,Age
2061989129,73968128,Electrical Stress
1206321700,73968128,Age
77021860,73968128,Environmental Exposure
651570918,524994260,Electrical Stress
1678405166,524994260,Electrical Stress
804088914,524994260,Rust
1066407362,524994260,Electrical Stress
1441671330,666003842,Age
1162236063,666003842,Thermal Stress
2019484574,666003842,Environmental Exposure
1473113778,704667362,Age
209465266,704667362,Environmental Exposure
2062249462,704667362,Rust
865957633,704667362,Electrical Stress
463271451,704667362,Rust
530026529,313479111,Thermal Stress
424765397,313479111,Wear
1997156710,313479111,Weather Damage
317554223,313479111,Physical Damage
1631497298,846560959,Electrical Stress
939716655,846560959,Physical Damage
2017408673,846560959,Age
2079139851,1570383429,Electrical Stress
395882580,1570383429,Electrical Stress
191275668,1570383429,Thermal Stress
2045160934,1570383429,Rust
1152534054,1570383429,Age
1071172430,351695797,Thermal Stress
922166295,351695797,Electrical Stress
998156585,351695797,Age
1269719751,1310566857,Physical Damage
2124819970,1310566857,Wear
943193109,1310566857,Weather Damage
2079730058,1958198686,Thermal Stress
1823225295,1958198686,Electrical Stress
1075622614,1958198686,Age
122592743,1958198686,Electrical Stress
602664763,1958198686,Electrical Stress
306830664,971443275,Thermal Stress
1763553216,971443275,Age
153106836,971443275,Thermal Stress
1434861699,971443275,Thermal Stress
268577064,644705015,Environmental Exposure
353725356,644705015,Thermal Stress
144978501,644705015,Physical Damage
1811239229,134523066,Weather Damage
2015357988,134523066,Rust
1574734783,134523066,Rust
117761933,134523066,Physical Damage
763869725,134523066,Age
1381419240,1581150630,Age
175092953,1581150630,Electrical Stress
1144430502,1581150630,Environmental Exposure
953406126,1581150630,Rust
75598112,1334696991,Electrical Stress
1520445245,1334696991,Rust
1772215061,1295717524,Weather Damage
1291316247,1295717524,Electrical Stress
203221317,1295717524,Thermal Stress
1984610841,2054407529,Wear
278596240,2054407529,Rust
2109590427,2054407529,Physical Damage
380558725,2054407529,Environmental Exposure
515620693,1168889538,Wear
239238141,1168889538,Rust
411300679,1168889538,Electrical Stress
804472213,1028689664,Wear
66646141,1028689664,Environmental Exposure
1696943148,1028689664,Weather Damage
2009577097,119630217,Electrical Stress
463303360,119630217,Rust
2113228834,119630217,Physical Damage
21854600,119630217,Weather Damage
940404447,119630217,Electrical Stress
651764096,489984082,Rust
1106532902,489984082,Electrical Stress
1583133974,489984082,Environmental Exposure
1572884177,1473595685,Environmental Exposure
2003601461,1473595685,Electrical Stress
1279804809,1473595685,Physical Damage
1384212218,1473595685,Thermal Stress
1932590681,1473595685,Rust
99290958,1927456758,Physical Damage
743399032,1927456758,Environmental Exposure
67461889,1927456758,Rust
1935885461,1927456758,Age
310278246,1216691754,Rust
1391394356,1216691754,Thermal Stress
386144710,1216691754,Rust
934845426,847832498,Age
568490200,847832498,Weather Damage
690118340,847832498,Wear
835978246,1507420479,Wear
580052952,1507420479,Electrical Stress
1292473631,1507420479,Thermal Stress
1004741676,338029379,Age
1848957620,338029379,Electrical Stress
366784580,338029379,Physical Damage
1024402072,338029379,Wear
2062981610,338029379,Wear
894973749,939659618,Physical Damage
1089590509,939659618,Wear
533255961,939659618,Environmental Exposure
325144518,939659618,Age
910438279,939659618,Electrical Stress
1630056424,1978295440,Electrical Stress
27576949,1978295440,Weather Damage
873412960,1978295440,Physical Damage
1484314284,1978295440,Environmental Exposure
1153270372,1978295440,Age
654195643,1227342337,Physical Damage
1612237484,1227342337,Wear
1004471468,1227342337,Age
328505439,882253994,Rust
1600484225,882253994,Electrical Stress
1305329833,882253994,Wear
1781586842,882253994,Thermal Stress
928633985,1279473245,Electrical Stress
2007916996,1279473245,Weather Damage
282205588,1279473245,Thermal Stress
353724293,1134454257,Age
1250119032,1134454257,Weather Damage
1977610000,1134454257,Weather Damage
2089339607,1134454257,Environmental Exposure
356677847,230496636,Physical Damage
99725732,230496636,Weather Damage
1799118664,230496636,Weather Damage
1701328438,230496636,Rust
1706637949,230496636,Wear
217006844,1166956222,Environmental Exposure
1289726740,1166956222,Environmental Exposure
62009147,1166956222,Age
876732213,1348004402,Age
104625295,1348004402,Wear
645438373,1348004402,Weather Damage
2082276497,2040164884,Physical Damage
1559120733,2040164884,Environmental Exposure
801383686,2040164884,Weather Damage
680290969,844725164,Electrical Stress
1689824218,844725164,Wear
2024291265,844725164,Physical Damage
1467334922,844725164,Electrical Stress
370302331,1885764847,Wear
1812619091,1885764847,Physical Damage
1959619860,1885764847,Wear
2008235950,1988606202,Environmental Exposure
484608528,1988606202,Age
1455000922,1988606202,Environmental Exposure
286808170,1988606202,Weather Damage
427803153,1988606202,Rust
1043610912,1904276099,Age
1876070588,1904276099,Rust
183975438,1904276099,Physical Damage
2147038936,980161821,Physical Damage
372022950,980161821,Age
1495117890,980161821,Physical Damage
422822580,980161821,Environmental Exposure
1321347087,980161821,Age
2135089343,197614548,Physical Damage
188017060,197614548,Thermal Stress
3731910,197614548,Environmental Exposure
465828443,380972225,Physical Damage
1808635559,380972225,Age
678564988,380972225,Physical Damage
1527281913,380972225,Thermal Stress
1519203620,380972225,Weather Damage
259843196,765032000,Physical Damage
81847172,765032000,Weather Damage
1143497056,765032000,Wear
822606934,1914546653,Age
2078770116,1914546653,Weather Damage
1495281378,1914546653,Thermal Stress
1231061408,1914546653,Environmental Exposure
1712470539,1914546653,Environmental Exposure
1092104903,2005733838,Age
1451636255,2005733838,Thermal Stress
115755705,2005733838,Age
2029810866,2005733838,Rust
1347589448,2005733838,Rust
2087796636,217155168,Weather Damage
1715781765,217155168,Electrical Stress
2065160821,217155168,Thermal Stress
1515363934,217155168,Age
1138998677,307097926,Thermal Stress
1041634252,307097926,Physical Damage
1076659661,307097926,Thermal Stress
2144817706,285546867,Thermal Stress
485219097,285546867,Rust
554216706,285546867,Electrical Stress
1990462110,285546867,Electrical Stress
2123441639,285546867,Thermal Stress
1644383136,1551036127,Rust
1697071089,1551036127,Electrical Stress
883345562,206637820,Wear
1660291138,206637820,Thermal Stress
1946950728,206637820,Environmental Exposure
1048726525,206637820,Physical Damage
1252326992,1400210036,Environmental Exposure
1784912336,1400210036,Physical Damage
815095103,1400210036,Weather Damage
2037638025,1400210036,Age
1078897322,1946124440,Physical Damage
800323367,1946124440,Electrical Stress
1647274655,1811253734,Rust
2084661227,1811253734,Physical Damage
700105531,1811253734,Weather Damage
13837738,324007082,Physical Damage
908205801,324007082,Electrical Stress
1944021545,324007082,Electrical Stress
828939073,324007082,Electrical Stress
190955863,324007082,Environmental Exposure
1657928749,64858491,Electrical Stress
1301008178,64858491,Wear
2103780063,64858491,Wear
347540266,216972638,Wear
290668462,216972638,Rust
769655517,216972638,Age
1960803731,216972638,Age
325050202,216972638,Rust
1485940487,766207168,Environmental Exposure
1332061293,766207168,Electrical Stress
963118173,766207168,Rust
145696025,766207168,Rust
529760096,766207168,Weather Damage
1640257739,1163973653,Wear
181975572,1163973653,Thermal Stress
155961838,1163973653,Rust
1515886344,1163973653,Electrical Stress
561479241,1163973653,Weather Damage
1863637786,590977573,Thermal Stress
674114915,590977573,Electrical Stress
595511431,590977573,Weather Damage
2125537894,2058012848,Physical Damage
1883996186,2058012848,Wear
1876854762,2058012848,Environmental Exposure
1563508152,2058012848,Physical Damage
358509974,2058012848,Wear
981460085,594304050,Age
1048322591,594304050,Rust
333863588,594304050,Physical Damage
1969247826,594304050,Electrical Stress
1320661639,1845666136,Weather Damage
472803393,1845666136,Weather Damage
338395823,1845666136,Rust
1008550401,1845666136,Electrical Stress
1709972034,1845666136,Weather Damage
1087224801,1679186645,Environmental Exposure
1941024788,1679186645,Wear
1680340474,1679186645,Environmental Exposure
2000193217,1679186645,Environmental Exposure
310631909,1914302338,Physical Damage
1362880046,1914302338,Physical Damage
412139821,1914302338,Rust
2003574931,1914302338,Environmental Exposure
1202444748,991577607,Physical Damage
1310849491,991577607,Rust
1680407487,991577607,Weather Damage
903847041,991577607,Wear
485160200,811478373,Rust
726107904,811478373,Electrical Stress
1201775009,811478373,Wear
1935037153,811478373,Age
1042146263,811478373,Environmental Exposure
1136740528,246270777,Rust
1835087724,246270777,Environmental Exposure
925063691,246270777,Environmental Exposure
1294667697,246270777,Physical Damage
1354476000,1259777044,Rust
1364431439,1259777044,Weather Damage
1571861619,1259777044,Environmental Exposure
1913081961,1259777044,Environmental Exposure
1615449121,1259777044,Electrical Stress
912268040,1525810118,Age
1643358752,1525810118,Environmental Exposure
646898654,1525810118,Weather Damage
320385807,481951650,Wear
287097687,481951650,Age
712641123,481951650,Physical Damage
1905481666,481951650,Thermal Stress
278451098,179874349,Physical Damage
1192010071,179874349,Weather Damage
1853073376,179874349,Physical Damage
589026512,1555262455,Rust
1927995906,1555262455,Thermal Stress
1175867489,1555262455,Wear
225123927,1103553318,Wear
941227097,1103553318,Rust
196174718,1103553318,Physical Damage
1518042590,1103553318,Rust
603149049,1443930459,Thermal Stress
1900448325,1443930459,Thermal Stress
1198445093,1443930459,Wear
321987557,1443930459,Thermal Stress
911702299,1443930459,Electrical Stress
1338090940,1096026112,Age
1328185567,1096026112,Weather Damage
580331736,1096026112,Weather Damage
1690470416,1096026112,Environmental Exposure
11389519,752077640,Age
521973898,752077640,Physical Damage
845541086,752077640,Weather Damage
745921105,1362101387,Wear
770724462,1362101387,Weather Damage
409749537,1362101387,Thermal Stress
1795666190,562607976,Wear
185846535,562607976,Wear
2121101019,562607976,Electrical Stress
510312686,562607976,Electrical Stress
198078845,1565520473,Physical Damage
668059966,1565520473,Thermal Stress
1228613432,1565520473,Weather Damage
1865850038,1565520473,Age
539563593,82850422,Weather Damage
1577111715,82850422,Wear
2033949978,82850422,Age
54463119,467740657,Weather Damage
1763784076,467740657,Wear
1394095279,467740657,Physical Damage
353606909,467740657,Environmental Exposure
776654405,247650693,Electrical Stress
1114945987,247650693,Electrical Stress
214888010,247650693,Wear
1968004182,247650693,Age
1338851628,122393015,Thermal Stress
1109685960,122393015,Electrical Stress
257264731,122393015,Physical Damage
1742264522,1634581664,Electrical Stress
2133814850,1634581664,Environmental Exposure
1313906692,1634581664,Environmental Exposure
1940922385,1634581664,Thermal Stress
105497626,1634581664,Electrical Stress
601170623,1284713254,Physical Damage
371541996,1284713254,Physical Damage
2119929317,1284713254,Wear
1575901788,1556094601,Weather Damage
934814621,1556094601,Age
1929981751,1556094601,Weather Damage
1557034953,1556094601,Environmental Exposure
458194627,1556094601,Physical Damage
1715682659,764521630,Environmental Exposure
1496756595,764521630,Electrical Stress
1878483679,764521630,Thermal Stress
1294335383,764521630,Electrical Stress
1323928311,796336828,Thermal Stress
1703783647,796336828,Wear
1755851541,796336828,Age
986570534,820093323,Thermal Stress
604843281,1503495895,Weather Damage
876131361,1503495895,Electrical Stress
768684378,1503495895,Physical Damage
779908450,180393015,Wear
9661466,841501645,Rust
1956037404,841501645,Age
1207331466,841501645,Electrical Stress
707751187,841501645,Thermal Stress
1202067584,841501645,Environmental Exposure
1342445296,1158148395,Rust
446648100,1158148395,Rust
91430654,1158148395,Thermal Stress
1027616353,1158148395,Environmental Exposure
1791753415,1158148395,Rust
81133660,1665361677,Wear
1920577003,1665361677,Rust
23834798,1665361677,Environmental Exposure
196906110,1011327177,Age
1781601070,1011327177,Rust
1514592083,1011327177,Age
1639461835,412768927,Physical Damage
1519719581,412768927,Thermal Stress
969896743,1263952489,Age
1738362169,1263952489,Weather Damage
974438980,1263952489,Environmental Exposure
958021934,2022377233,Electrical Stress
170937993,2022377233,Thermal Stress
1841253982,2022377233,Thermal Stress
881812539,465799064,Age
1958466384,465799064,Rust
675006619,1896513255,Environmental Exposure
546896030,1896513255,Thermal Stress
810677344,1896513255,Electrical Stress
1361808093,1918824970,Weather Damage
1086972935,1918824970,Rust
579692023,1918824970,Thermal Stress
1795736418,1918824970,Thermal Stress
1463700096,71387925,Age
1152032228,71387925,Weather Damage
1544220938,71387925,Environmental Exposure
1568512664,71387925,Environmental Exposure
1464880651,1138628734,Rust
1326911939,1138628734,Electrical Stress
103148570,1138628734,Wear
1617502294,1473869757,Weather Damage
1915624407,1473869757,Weather Damage
975754976,1437822249,Electrical Stress
895772087,1437822249,Age
2052232167,1437822249,Rust
922204180,1113829669,Age
691622567,1113829669,Physical Damage
705861288,1113829669,Physical Damage
1273826462,1113829669,Weather Damage
217716690,1113829669,Thermal Stress
212793260,1606797139,Physical Damage
635244862,1606797139,Physical Damage
1509846485,1606797139,Physical Damage
461153969,1606797139,Environmental Exposure
1937634933,1606797139,Environmental Exposure
889365899,938753424,Electrical Stress
256321855,938753424,Age
906867928,938753424,Weather Damage
129616187,570745811,Weather Damage
1527134416,570745811,Weather Damage
333253674,570745811,Age
1824751781,1387737934,Weather Damage
1881921921,1387737934,Environmental Exposure
81715959,1387737934,Environmental Exposure
1144693011,1918481094,Rust
554901485,1918481094,Thermal Stress
933732142,1918481094,Wear
526453711,1918481094,Age
2146231237,1918481094,Age
43197694,576209654,Electrical Stress
488798975,576209654,Physical Damage
1319338403,576209654,Physical Damage
764244029,576209654,Electrical Stress
774260280,576209654,Age
446942196,791300717,Physical Damage
1385571248,791300717,Physical Damage
419492065,791300717,Wear
971255170,1856066270,Environmental Exposure
1368298698,1856066270,Thermal Stress
300798880,1856066270,Physical Damage
1735883368,1856066270,Weather Damage
968474195,776436534,Wear
484115086,776436534,Environmental Exposure
1123436273,776436534,Electrical Stress
766469954,776436534,Electrical Stress
1106111322,73691986,Age
92784530,73691986,Environmental Exposure
1205464126,73691986,Physical Damage
888846891,73691986,Physical Damage
694736694,2119215620,Physical Damage
1189694355,2119215620,Physical Damage
898333983,2119215620,Weather Damage
772189977,2119215620,Physical Damage
344897316,422519911,Electrical Stress
423345174,422519911,Thermal Stress
300721043,422519911,Weather Damage
223180242,422519911,Weather Damage
816009893,1409338374,Rust
1482815220,1409338374,Weather Damage
458344869,1409338374,Environmental Exposure
1920516110,1297536879,Thermal Stress
1267901292,1297536879,Weather Damage
1160230693,1297536879,Age
955200926,1297536879,Physical Damage
975894486,1966959179,Environmental Exposure
419798419,1966959179,Environmental Exposure
1132228462,1966959179,Physical Damage
309318283,1122414793,Thermal Stress
1952600904,1122414793,Physical Damage
1091788516,1122414793,Thermal Stress
738258919,1122414793,Rust
1251668952,1311693990,Weather Damage
1448725224,1311693990,Thermal Stress
284621635,1311693990,Age
1338354866,166411675,Weather Damage
1593630946,166411675,Environmental Exposure
1712455930,166411675,Physical Damage
72581423,166411675,Weather Damage
512773298,166411675,Thermal Stress
1985912028,608867682,Physical Damage
233904048,608867682,Rust
1926103367,608867682,Electrical Stress
1236535332,608867682,Age
52198151,227589282,Age
1888299112,227589282,Physical Damage
131788547,227589282,Physical Damage
14245273,1023254928,Environmental Exposure
962608033,1023254928,Rust
1780822384,1023254928,Age
846562077,1729484715,Weather Damage
1592883511,1729484715,Age
1973059137,1729484715,Rust
1055028841,1729484715,Environmental Exposure
1181302950,1729484715,Rust
1734554991,873696936,Weather Damage
736592981,873696936,Wear
1337196080,873696936,Age
1887911318,873696936,Electrical Stress
1527273652,873696936,Age
1659060519,320513827,Physical Damage
602680654,320513827,Rust
11192829,320513827,Age
