 Demand Plan ID, Product ID, Quantity, Target Date, Start Date
1199789742,692419031,450,2023-10-01 00:00:00 UTC,2023-10-01 00:00:00 UTC
223349852,694127367,100,2026-02-01 00:00:00 UTC,2026-02-01 00:00:00 UTC
4862089,710149981,50,2027-07-01 00:00:00 UTC,2027-07-01 00:00:00 UTC
1366461470,714142149,350,2023-10-01 00:00:00 UTC,2023-10-01 00:00:00 UTC
1999043380,719807222,150,2025-09-01 00:00:00 UTC,2025-09-01 00:00:00 UTC
659935625,770679086,150,2025-10-01 00:00:00 UTC,2025-10-01 00:00:00 UTC
852372823,772336318,300,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
995128814,774045160,300,2024-02-01 00:00:00 UTC,2024-02-01 00:00:00 UTC
1756477964,778862611,350,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
1064672979,779465155,50,2028-07-01 00:00:00 UTC,2028-07-01 00:00:00 UTC
1121732138,797685999,100,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
1726223240,826742008,300,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
1175855369,827790727,150,2026-06-01 00:00:00 UTC,2026-06-01 00:00:00 UTC
1777750234,876979408,150,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
427361466,901624480,500,2023-05-01 00:00:00 UTC,2023-05-01 00:00:00 UTC
74564466,922640075,50,2027-10-01 00:00:00 UTC,2027-10-01 00:00:00 UTC
2029061217,932183959,600,2022-11-01 00:00:00 UTC,2022-11-01 00:00:00 UTC
988169778,940749676,250,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
1727889022,943495806,100,2027-02-01 00:00:00 UTC,2027-02-01 00:00:00 UTC
497045426,949526043,150,2026-06-01 00:00:00 UTC,2026-06-01 00:00:00 UTC
1160404105,953470587,200,2024-09-01 00:00:00 UTC,2024-09-01 00:00:00 UTC
237050189,962431705,50,2027-04-01 00:00:00 UTC,2027-04-01 00:00:00 UTC
199859989,963770084,100,2025-11-01 00:00:00 UTC,2025-11-01 00:00:00 UTC
746165108,964070615,350,2024-03-01 00:00:00 UTC,2024-03-01 00:00:00 UTC
862001416,965823772,100,2027-08-01 00:00:00 UTC,2027-08-01 00:00:00 UTC
922692486,980766119,450,2023-06-01 00:00:00 UTC,2023-06-01 00:00:00 UTC
673686127,1005267733,100,2027-03-01 00:00:00 UTC,2027-03-01 00:00:00 UTC
385169705,1021893466,400,2023-10-01 00:00:00 UTC,2023-10-01 00:00:00 UTC
56045744,1022743270,200,2024-10-01 00:00:00 UTC,2024-10-01 00:00:00 UTC
746631571,1031078401,50,2027-04-01 00:00:00 UTC,2027-04-01 00:00:00 UTC
831820955,1060800588,200,2025-05-01 00:00:00 UTC,2025-05-01 00:00:00 UTC
1653146797,1080225696,100,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
1268975793,1141751565,50,2026-06-01 00:00:00 UTC,2026-06-01 00:00:00 UTC
800820557,1143348200,300,2023-08-01 00:00:00 UTC,2023-08-01 00:00:00 UTC
952320684,1160159979,50,2028-04-01 00:00:00 UTC,2028-04-01 00:00:00 UTC
1667385668,1163371281,250,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
948621098,1228615147,200,2024-12-01 00:00:00 UTC,2024-12-01 00:00:00 UTC
50735552,1228696372,150,2025-11-01 00:00:00 UTC,2025-11-01 00:00:00 UTC
479910031,1245315471,250,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
927667424,1250088053,250,2024-04-01 00:00:00 UTC,2024-04-01 00:00:00 UTC
557470830,1281138545,50,2027-02-01 00:00:00 UTC,2027-02-01 00:00:00 UTC
93690142,1328909245,50,2027-04-01 00:00:00 UTC,2027-04-01 00:00:00 UTC
1643759979,1330068067,150,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
165373954,1341108878,150,2026-02-01 00:00:00 UTC,2026-02-01 00:00:00 UTC
549892720,1344416659,250,2024-10-01 00:00:00 UTC,2024-10-01 00:00:00 UTC
478496056,1345669918,50,2027-06-01 00:00:00 UTC,2027-06-01 00:00:00 UTC
361976272,1347719889,100,2026-04-01 00:00:00 UTC,2026-04-01 00:00:00 UTC
580717446,1362545079,250,2024-12-01 00:00:00 UTC,2024-12-01 00:00:00 UTC
466534911,1381179533,200,2025-05-01 00:00:00 UTC,2025-05-01 00:00:00 UTC
2004461988,1388693051,350,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
789892693,1398957094,250,2024-11-01 00:00:00 UTC,2024-11-01 00:00:00 UTC
568505835,1401608557,300,2023-11-01 00:00:00 UTC,2023-11-01 00:00:00 UTC
354719131,1407053904,200,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
1910410773,1458184559,250,2024-09-01 00:00:00 UTC,2024-09-01 00:00:00 UTC
259214295,1472003519,300,2024-07-01 00:00:00 UTC,2024-07-01 00:00:00 UTC
506189882,1502579825,200,2024-08-01 00:00:00 UTC,2024-08-01 00:00:00 UTC
1689424916,1507808434,200,2024-07-01 00:00:00 UTC,2024-07-01 00:00:00 UTC
1810257598,1520399800,450,2023-08-01 00:00:00 UTC,2023-08-01 00:00:00 UTC
37920645,1534036446,100,2026-11-01 00:00:00 UTC,2026-11-01 00:00:00 UTC
1080946662,1535372130,100,2026-01-01 00:00:00 UTC,2026-01-01 00:00:00 UTC
1602038887,1555491256,250,2023-12-01 00:00:00 UTC,2023-12-01 00:00:00 UTC
1177547882,1563253337,100,2027-03-01 00:00:00 UTC,2027-03-01 00:00:00 UTC
1957232399,1563953169,250,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
1300248705,1575706803,250,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
1692323820,1589216577,350,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
34436435,1595905503,250,2024-08-01 00:00:00 UTC,2024-08-01 00:00:00 UTC
1367038786,1620558601,150,2025-09-01 00:00:00 UTC,2025-09-01 00:00:00 UTC
1124084476,1677208163,100,2026-03-01 00:00:00 UTC,2026-03-01 00:00:00 UTC
1740262055,1702212573,300,2024-09-01 00:00:00 UTC,2024-09-01 00:00:00 UTC
1006787941,1719322950,200,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
812368950,1764476118,50,2027-07-01 00:00:00 UTC,2027-07-01 00:00:00 UTC
1500426065,1772410983,350,2024-03-01 00:00:00 UTC,2024-03-01 00:00:00 UTC
1677523505,1782761655,50,2027-11-01 00:00:00 UTC,2027-11-01 00:00:00 UTC
1237190790,1785043431,100,2027-05-01 00:00:00 UTC,2027-05-01 00:00:00 UTC
1728024865,1806313054,200,2025-09-01 00:00:00 UTC,2025-09-01 00:00:00 UTC
560440968,1841958067,100,2027-01-01 00:00:00 UTC,2027-01-01 00:00:00 UTC
1612201346,1857521685,400,2023-11-01 00:00:00 UTC,2023-11-01 00:00:00 UTC
341878539,1877232098,100,2026-03-01 00:00:00 UTC,2026-03-01 00:00:00 UTC
369534161,1886367459,300,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
86515332,1894626563,400,2023-07-01 00:00:00 UTC,2023-07-01 00:00:00 UTC
1498496887,1894879113,200,2024-09-01 00:00:00 UTC,2024-09-01 00:00:00 UTC
1136964107,1897107811,100,2026-12-01 00:00:00 UTC,2026-12-01 00:00:00 UTC
488318720,1899314059,350,2024-01-01 00:00:00 UTC,2024-01-01 00:00:00 UTC
536951126,1909940985,350,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
153130701,1912064632,200,2025-02-01 00:00:00 UTC,2025-02-01 00:00:00 UTC
660409030,1988175641,400,2023-08-01 00:00:00 UTC,2023-08-01 00:00:00 UTC
2013507857,1993953324,250,2024-11-01 00:00:00 UTC,2024-11-01 00:00:00 UTC
142235943,2002934333,50,2027-04-01 00:00:00 UTC,2027-04-01 00:00:00 UTC
279779899,2017648365,100,2027-03-01 00:00:00 UTC,2027-03-01 00:00:00 UTC
221457802,2041455540,300,2023-10-01 00:00:00 UTC,2023-10-01 00:00:00 UTC
1492884086,2066254789,100,2027-03-01 00:00:00 UTC,2027-03-01 00:00:00 UTC
2072427633,2098403168,100,2027-05-01 00:00:00 UTC,2027-05-01 00:00:00 UTC
1211702556,2100402592,50,2028-08-01 00:00:00 UTC,2028-08-01 00:00:00 UTC
384514102,2111222872,100,2027-02-01 00:00:00 UTC,2027-02-01 00:00:00 UTC
450395319,2114476460,300,2024-02-01 00:00:00 UTC,2024-02-01 00:00:00 UTC
334239669,2121024151,200,2025-05-01 00:00:00 UTC,2025-05-01 00:00:00 UTC
460172549,2137841554,300,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
