 ID, Name, Type, Status, Budget, Spent, Target Audience, Region, Start Date, End Date, Description, Goals, Created At
974166640,Technical Workshop,Webinar,Paused,11023.694286235957,2942.042446053542,Enterprise,Latin America,2025-03-21 15:32:18.081243 UTC,2025-03-22 15:32:18.081243 UTC,Interactive session with product experts,Lead Generation,2025-02-19 15:32:18.081243 UTC
1171949798,Whitepaper Distribution,Content,Paused,13373.80696772358,4782.294373957583,Mid-Market,Europe,2025-02-10 14:20:06.081414 UTC,2025-05-11 14:20:06.081414 UTC,Educational content series,Brand Awareness,2025-01-11 14:20:06.081414 UTC
1860124318,Blog Post Campaign,Content,Active,14321.903705254785,8419.244212696234,Mid-Market,Europe,2025-02-17 23:24:05.081583 UTC,2025-05-18 23:24:05.081583 UTC,Best practices guide distribution,Brand Awareness,2025-01-18 23:24:05.081583 UTC
1610978711,Case Study Series,Content,Active,12618.219772768553,5154.023338467991,Mid-Market,Europe,2025-01-26 04:40:51.081776 UTC,2025-04-26 04:40:51.081776 UTC,Industry research publication,Product Launch,2024-12-27 04:40:51.081776 UTC
2039171311,Partner Enablement Program,Partner,Completed,21680.5265858725,23747.668602955204,Mid-Market,North America,2024-12-12 17:20:37.081961 UTC,2025-03-12 17:20:37.081961 UTC,Channel enablement program,Lead Generation,2024-11-12 17:20:37.081961 UTC
90427088,Q1 Nurture Campaign,Email,Active,5965.598113123868,3747.4305923728402,SMB,Europe,2025-02-01 08:59:22.082174 UTC,2025-03-03 08:59:22.082174 UTC,Targeted email campaign to nurture prospects,Product Launch,2025-01-02 08:59:22.082174 UTC
1752977085,Q1 Nurture Campaign,Email,Active,5520.282962610985,2880.2112439312154,SMB,North America,2025-01-27 08:53:28.082397 UTC,2025-02-26 08:53:28.082397 UTC,Targeted email campaign to nurture prospects,Brand Awareness,2024-12-28 08:53:28.082397 UTC
638256697,Industry Trends Discussion,Webinar,Active,9119.709272690365,6804.09662441018,Mid-Market,North America,2025-02-28 16:21:18.082605 UTC,2025-03-01 16:21:18.082605 UTC,Interactive session with product experts,Brand Awareness,2025-01-29 16:21:18.082605 UTC
1956277634,Industry Insights Series,Email,Active,4456.518711482747,1514.0265239316323,Mid-Market,Latin America,2025-03-24 13:05:25.082833 UTC,2025-04-23 13:05:25.082833 UTC,Customer success story distribution,Lead Generation,2025-02-22 13:05:25.082833 UTC
842697098,Product Update Announcement,Email,Active,4513.567335350225,3052.4572367580536,Mid-Market,Latin America,2025-01-28 08:30:34.082995 UTC,2025-02-27 08:30:34.082995 UTC,Customer success story distribution,Product Launch,2024-12-29 08:30:34.082995 UTC
1312848825,eBook Launch,Content,Active,14707.858974808907,8054.712245576126,Mid-Market,Europe,2025-03-05 07:22:41.083163 UTC,2025-06-03 07:22:41.083163 UTC,Best practices guide distribution,Lead Generation,2025-02-03 07:22:41.083163 UTC
2083121703,Blog Post Campaign,Content,Active,14668.282863272641,8956.439325608397,Enterprise,Latin America,2025-03-25 01:53:23.083314 UTC,2025-06-23 01:53:23.083314 UTC,Best practices guide distribution,Brand Awareness,2025-02-23 01:53:23.083314 UTC
2018441165,Product Deep Dive,Webinar,Completed,9646.017792193492,10551.206551804318,SMB,Latin America,2025-01-20 11:57:23.083466 UTC,2025-01-21 11:57:23.083466 UTC,Interactive session with product experts,Lead Generation,2024-12-21 11:57:23.083466 UTC
1577832555,Product Deep Dive,Webinar,Active,10304.243709941647,4955.627353690861,Enterprise,Europe,2024-12-29 15:08:25.083618 UTC,2024-12-30 15:08:25.083618 UTC,Interactive session with product experts,Lead Generation,2024-11-29 15:08:25.083618 UTC
1354501669,Whitepaper Distribution,Content,Active,16382.721879800883,12747.597522246071,SMB,North America,2025-02-08 21:15:00.083772 UTC,2025-05-09 21:15:00.083772 UTC,Industry research publication,Lead Generation,2025-01-09 21:15:00.083772 UTC
1714082724,Case Study Series,Content,Active,13078.58137378709,10144.795893195655,SMB,North America,2024-12-23 05:30:08.083938 UTC,2025-03-23 05:30:08.083938 UTC,Industry research publication,Product Launch,2024-11-23 05:30:08.083938 UTC
