 ID, Mine ID, Inspector ID, Compliance Date, Type, Violation Count, Severity, Resolution Deadline, Notes, Status
19521581,392195143,1094986064,2024-04-25 00:00:00 UTC,ROUTINE,0,NONE,2024-05-25 00:00:00 UTC,Routine safety inspection,OPEN
107016580,1168237128,779233749,2024-04-27 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-27 00:00:00 UTC,Routine safety inspection,OPEN
755277122,919632549,1393170979,2024-04-28 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-28 00:00:00 UTC,Routine safety inspection,OPEN
1540331607,1168237128,779233749,2024-05-02 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-01 00:00:00 UTC,Routine safety inspection,OPEN
307663106,392195143,1727635875,2024-05-03 00:00:00 UTC,ROUTINE,0,NONE,2024-06-02 00:00:00 UTC,Routine safety inspection,OPEN
139775848,392195143,1094986064,2024-05-04 00:00:00 UTC,ROUTINE,0,NONE,2024-06-03 00:00:00 UTC,Routine safety inspection,OPEN
322621058,1168237128,1189597451,2024-05-05 00:00:00 UTC,ROUTINE,0,NONE,2024-06-04 00:00:00 UTC,Routine safety inspection,OPEN
1797826133,392195143,1094986064,2024-05-07 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-06 00:00:00 UTC,Routine safety inspection,OPEN
2015222283,1168237128,779233749,2024-05-07 00:00:00 UTC,ROUTINE,0,NONE,2024-06-06 00:00:00 UTC,Routine safety inspection,OPEN
1339037094,392195143,1094986064,2024-05-11 00:00:00 UTC,ROUTINE,1,LOW,2024-06-10 00:00:00 UTC,Routine safety inspection,OPEN
1150524733,392195143,899937147,2024-05-12 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-11 00:00:00 UTC,Routine safety inspection,OPEN
397634852,919632549,1543598189,2024-05-15 00:00:00 UTC,ROUTINE,0,NONE,2024-06-14 00:00:00 UTC,Routine safety inspection,OPEN
1272680874,1168237128,792475962,2024-05-17 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-16 00:00:00 UTC,Routine safety inspection,OPEN
214181179,919632549,209475583,2024-05-19 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-18 00:00:00 UTC,Routine safety inspection,OPEN
611379431,1168237128,779233749,2024-05-20 00:00:00 UTC,ROUTINE,0,NONE,2024-06-19 00:00:00 UTC,Routine safety inspection,OPEN
558323150,392195143,899937147,2024-05-21 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-20 00:00:00 UTC,Routine safety inspection,OPEN
1965626090,392195143,1785728209,2024-05-22 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-21 00:00:00 UTC,Routine safety inspection,OPEN
1507547800,1168237128,779233749,2024-05-26 00:00:00 UTC,ROUTINE,0,NONE,2024-06-25 00:00:00 UTC,Routine safety inspection,OPEN
1846975050,919632549,1543598189,2024-05-28 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-27 00:00:00 UTC,Routine safety inspection,OPEN
971372642,392195143,899937147,2024-05-29 00:00:00 UTC,ROUTINE,1,LOW,2024-06-28 00:00:00 UTC,Routine safety inspection,OPEN
94686463,919632549,209475583,2024-05-30 00:00:00 UTC,ROUTINE,1,LOW,2024-06-29 00:00:00 UTC,Routine safety inspection,OPEN
2094615648,392195143,1094986064,2024-05-31 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-30 00:00:00 UTC,Routine safety inspection,OPEN
409252264,392195143,1785728209,2024-06-03 00:00:00 UTC,ROUTINE,1,LOW,2024-07-03 00:00:00 UTC,Routine safety inspection,OPEN
1099733004,919632549,966958699,2024-06-05 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-05 00:00:00 UTC,Routine safety inspection,OPEN
1350287552,1168237128,792475962,2024-06-06 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-06 00:00:00 UTC,Routine safety inspection,OPEN
963705513,1168237128,1189597451,2024-06-08 00:00:00 UTC,ROUTINE,1,LOW,2024-07-08 00:00:00 UTC,Routine safety inspection,OPEN
1743474210,919632549,209475583,2024-06-08 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-08 00:00:00 UTC,Routine safety inspection,OPEN
200268245,392195143,1785728209,2024-06-10 00:00:00 UTC,ROUTINE,1,LOW,2024-07-10 00:00:00 UTC,Routine safety inspection,OPEN
1420003146,1168237128,792475962,2024-06-12 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-12 00:00:00 UTC,Routine safety inspection,OPEN
1687518518,919632549,209475583,2024-06-12 00:00:00 UTC,ROUTINE,1,LOW,2024-07-12 00:00:00 UTC,Routine safety inspection,OPEN
1267787686,392195143,1094986064,2024-06-16 00:00:00 UTC,ROUTINE,1,LOW,2024-07-16 00:00:00 UTC,Routine safety inspection,OPEN
1383948030,1168237128,1189597451,2024-06-16 00:00:00 UTC,ROUTINE,1,LOW,2024-07-16 00:00:00 UTC,Routine safety inspection,OPEN
554268835,392195143,1727635875,2024-06-19 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-19 00:00:00 UTC,Routine safety inspection,OPEN
474657349,919632549,209475583,2024-06-20 00:00:00 UTC,ROUTINE,0,NONE,2024-07-20 00:00:00 UTC,Routine safety inspection,OPEN
979895211,392195143,899937147,2024-06-21 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-21 00:00:00 UTC,Routine safety inspection,OPEN
935940154,1168237128,1189597451,2024-06-22 00:00:00 UTC,ROUTINE,0,NONE,2024-07-22 00:00:00 UTC,Routine safety inspection,OPEN
822606251,392195143,1727635875,2024-06-23 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-23 00:00:00 UTC,Routine safety inspection,OPEN
1679605353,392195143,1727635875,2024-06-25 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-25 00:00:00 UTC,Routine safety inspection,OPEN
190247858,1168237128,990656208,2024-06-25 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-25 00:00:00 UTC,Routine safety inspection,OPEN
455360141,1168237128,792475962,2024-06-26 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-26 00:00:00 UTC,Routine safety inspection,OPEN
115494444,392195143,1727635875,2024-06-28 00:00:00 UTC,ROUTINE,0,NONE,2024-07-28 00:00:00 UTC,Routine safety inspection,OPEN
1917507492,392195143,1094986064,2024-06-29 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-29 00:00:00 UTC,Routine safety inspection,OPEN
2034168521,1168237128,1189597451,2024-06-30 00:00:00 UTC,ROUTINE,0,NONE,2024-07-30 00:00:00 UTC,Routine safety inspection,OPEN
2134539455,919632549,209475583,2024-07-01 00:00:00 UTC,ROUTINE,1,LOW,2024-07-31 00:00:00 UTC,Routine safety inspection,OPEN
1984743144,1168237128,990656208,2024-07-02 00:00:00 UTC,ROUTINE,0,NONE,2024-08-01 00:00:00 UTC,Routine safety inspection,OPEN
1632544220,1168237128,779233749,2024-07-05 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-04 00:00:00 UTC,Routine safety inspection,OPEN
2110708450,919632549,1543598189,2024-07-06 00:00:00 UTC,ROUTINE,3,HIGH,2024-08-05 00:00:00 UTC,Routine safety inspection,OPEN
452860030,919632549,1543598189,2024-07-08 00:00:00 UTC,ROUTINE,0,NONE,2024-08-07 00:00:00 UTC,Routine safety inspection,OPEN
993270524,392195143,1727635875,2024-07-10 00:00:00 UTC,ROUTINE,0,NONE,2024-08-09 00:00:00 UTC,Routine safety inspection,OPEN
1031855424,1168237128,990656208,2024-07-10 00:00:00 UTC,ROUTINE,1,LOW,2024-08-09 00:00:00 UTC,Routine safety inspection,OPEN
1261576855,392195143,1727635875,2024-07-13 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-12 00:00:00 UTC,Routine safety inspection,OPEN
1734178649,1168237128,1189597451,2024-07-13 00:00:00 UTC,ROUTINE,0,NONE,2024-08-12 00:00:00 UTC,Routine safety inspection,OPEN
1878530550,1168237128,990656208,2024-07-15 00:00:00 UTC,ROUTINE,1,LOW,2024-08-14 00:00:00 UTC,Routine safety inspection,OPEN
1600904001,919632549,209475583,2024-07-15 00:00:00 UTC,ROUTINE,0,NONE,2024-08-14 00:00:00 UTC,Routine safety inspection,OPEN
1445720254,392195143,899937147,2024-07-18 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-17 00:00:00 UTC,Routine safety inspection,OPEN
1253761103,1168237128,1189597451,2024-07-18 00:00:00 UTC,ROUTINE,3,HIGH,2024-08-17 00:00:00 UTC,Routine safety inspection,OPEN
1982544245,392195143,1727635875,2024-07-19 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-18 00:00:00 UTC,Routine safety inspection,OPEN
188239768,1168237128,990656208,2024-07-20 00:00:00 UTC,ROUTINE,0,NONE,2024-08-19 00:00:00 UTC,Routine safety inspection,OPEN
1558500516,1168237128,792475962,2024-07-21 00:00:00 UTC,ROUTINE,0,NONE,2024-08-20 00:00:00 UTC,Routine safety inspection,OPEN
1392876304,392195143,1094986064,2024-07-22 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-21 00:00:00 UTC,Routine safety inspection,OPEN
1461382109,1168237128,792475962,2024-07-28 00:00:00 UTC,ROUTINE,3,HIGH,2024-08-27 00:00:00 UTC,Routine safety inspection,OPEN
800494286,392195143,1094986064,2024-07-30 00:00:00 UTC,ROUTINE,3,HIGH,2024-08-29 00:00:00 UTC,Routine safety inspection,OPEN
1196679582,1168237128,1189597451,2024-07-31 00:00:00 UTC,ROUTINE,1,LOW,2024-08-30 00:00:00 UTC,Routine safety inspection,OPEN
1755276802,1168237128,990656208,2024-08-01 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-31 00:00:00 UTC,Routine safety inspection,OPEN
737096957,392195143,899937147,2024-08-03 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-09-02 00:00:00 UTC,Routine safety inspection,OPEN
1451917000,919632549,1393170979,2024-08-10 00:00:00 UTC,ROUTINE,1,LOW,2024-09-09 00:00:00 UTC,Routine safety inspection,OPEN
416979679,919632549,1543598189,2024-08-11 00:00:00 UTC,ROUTINE,1,LOW,2024-09-10 00:00:00 UTC,Routine safety inspection,OPEN
127345990,392195143,1094986064,2024-08-14 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-09-13 00:00:00 UTC,Routine safety inspection,OPEN
2088245952,1168237128,990656208,2024-08-14 00:00:00 UTC,ROUTINE,0,NONE,2024-09-13 00:00:00 UTC,Routine safety inspection,OPEN
1999329762,392195143,1785728209,2024-08-15 00:00:00 UTC,ROUTINE,0,NONE,2024-09-14 00:00:00 UTC,Routine safety inspection,OPEN
311673561,1168237128,779233749,2024-08-15 00:00:00 UTC,ROUTINE,3,HIGH,2024-09-14 00:00:00 UTC,Routine safety inspection,OPEN
1926743929,919632549,1543598189,2024-08-16 00:00:00 UTC,ROUTINE,0,NONE,2024-09-15 00:00:00 UTC,Routine safety inspection,OPEN
1472343984,1168237128,779233749,2024-08-17 00:00:00 UTC,ROUTINE,3,HIGH,2024-09-16 00:00:00 UTC,Routine safety inspection,OPEN
275068991,919632549,966958699,2024-08-19 00:00:00 UTC,ROUTINE,3,HIGH,2024-09-18 00:00:00 UTC,Routine safety inspection,OPEN
1681106537,392195143,899937147,2024-08-22 00:00:00 UTC,ROUTINE,1,LOW,2024-09-21 00:00:00 UTC,Routine safety inspection,OPEN
784663444,919632549,1393170979,2024-08-24 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-09-23 00:00:00 UTC,Routine safety inspection,OPEN
2107553269,392195143,1785728209,2024-08-27 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-09-26 00:00:00 UTC,Routine safety inspection,OPEN
1844435054,1168237128,792475962,2024-08-27 00:00:00 UTC,ROUTINE,0,NONE,2024-09-26 00:00:00 UTC,Routine safety inspection,OPEN
176868821,392195143,1727635875,2024-08-28 00:00:00 UTC,ROUTINE,3,HIGH,2024-09-27 00:00:00 UTC,Routine safety inspection,OPEN
1186192266,392195143,1094986064,2024-08-31 00:00:00 UTC,ROUTINE,1,LOW,2024-09-30 00:00:00 UTC,Routine safety inspection,OPEN
1940281376,392195143,1727635875,2024-09-02 00:00:00 UTC,ROUTINE,3,HIGH,2024-10-02 00:00:00 UTC,Routine safety inspection,OPEN
1695686754,392195143,1727635875,2024-09-03 00:00:00 UTC,ROUTINE,3,HIGH,2024-10-03 00:00:00 UTC,Routine safety inspection,OPEN
1482080501,1168237128,779233749,2024-09-03 00:00:00 UTC,ROUTINE,0,NONE,2024-10-03 00:00:00 UTC,Routine safety inspection,OPEN
1794851758,1168237128,779233749,2024-09-05 00:00:00 UTC,ROUTINE,3,HIGH,2024-10-05 00:00:00 UTC,Routine safety inspection,OPEN
1095394761,919632549,1543598189,2024-09-08 00:00:00 UTC,ROUTINE,0,NONE,2024-10-08 00:00:00 UTC,Routine safety inspection,OPEN
345612429,1168237128,1189597451,2024-09-09 00:00:00 UTC,ROUTINE,3,HIGH,2024-10-09 00:00:00 UTC,Routine safety inspection,OPEN
536539626,1168237128,990656208,2024-09-10 00:00:00 UTC,ROUTINE,1,LOW,2024-10-10 00:00:00 UTC,Routine safety inspection,OPEN
110324632,1168237128,1189597451,2024-09-12 00:00:00 UTC,ROUTINE,0,NONE,2024-10-12 00:00:00 UTC,Routine safety inspection,OPEN
1906331491,1168237128,990656208,2024-09-13 00:00:00 UTC,ROUTINE,3,HIGH,2024-10-13 00:00:00 UTC,Routine safety inspection,OPEN
1993238915,919632549,209475583,2024-09-13 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-10-13 00:00:00 UTC,Routine safety inspection,OPEN
1899791206,919632549,966958699,2024-09-14 00:00:00 UTC,ROUTINE,0,NONE,2024-10-14 00:00:00 UTC,Routine safety inspection,OPEN
543273954,1168237128,779233749,2024-09-15 00:00:00 UTC,ROUTINE,0,NONE,2024-10-15 00:00:00 UTC,Routine safety inspection,OPEN
188510253,919632549,1393170979,2024-09-16 00:00:00 UTC,ROUTINE,1,LOW,2024-10-16 00:00:00 UTC,Routine safety inspection,OPEN
68557323,392195143,1785728209,2024-09-17 00:00:00 UTC,ROUTINE,3,HIGH,2024-10-17 00:00:00 UTC,Routine safety inspection,OPEN
1073053488,1168237128,990656208,2024-09-18 00:00:00 UTC,ROUTINE,1,LOW,2024-10-18 00:00:00 UTC,Routine safety inspection,OPEN
874246073,1168237128,792475962,2024-09-20 00:00:00 UTC,ROUTINE,1,LOW,2024-10-20 00:00:00 UTC,Routine safety inspection,OPEN
1737644904,392195143,1785728209,2024-09-22 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-10-22 00:00:00 UTC,Routine safety inspection,OPEN
1500525176,1168237128,792475962,2024-09-22 00:00:00 UTC,ROUTINE,0,NONE,2024-10-22 00:00:00 UTC,Routine safety inspection,OPEN
1281034132,1168237128,990656208,2024-09-26 00:00:00 UTC,ROUTINE,1,LOW,2024-10-26 00:00:00 UTC,Routine safety inspection,OPEN
1796996340,919632549,209475583,2024-09-28 00:00:00 UTC,ROUTINE,0,NONE,2024-10-28 00:00:00 UTC,Routine safety inspection,OPEN
25733070,1168237128,779233749,2024-09-29 00:00:00 UTC,ROUTINE,0,NONE,2024-10-29 00:00:00 UTC,Routine safety inspection,OPEN
1562267898,392195143,899937147,2024-10-03 00:00:00 UTC,ROUTINE,0,NONE,2024-11-02 00:00:00 UTC,Routine safety inspection,OPEN
138537266,1168237128,1189597451,2024-10-03 00:00:00 UTC,ROUTINE,0,NONE,2024-11-02 00:00:00 UTC,Routine safety inspection,OPEN
1754232263,919632549,966958699,2024-10-04 00:00:00 UTC,ROUTINE,0,NONE,2024-11-03 00:00:00 UTC,Routine safety inspection,OPEN
1277554459,919632549,209475583,2024-10-05 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-11-04 00:00:00 UTC,Routine safety inspection,OPEN
1401184008,1168237128,1189597451,2024-10-07 00:00:00 UTC,ROUTINE,1,LOW,2024-11-06 00:00:00 UTC,Routine safety inspection,OPEN
627526506,919632549,1393170979,2024-10-10 00:00:00 UTC,ROUTINE,0,NONE,2024-11-09 00:00:00 UTC,Routine safety inspection,OPEN
1915678662,1168237128,1189597451,2024-10-11 00:00:00 UTC,ROUTINE,3,HIGH,2024-11-10 00:00:00 UTC,Routine safety inspection,OPEN
1026261565,392195143,899937147,2024-10-14 00:00:00 UTC,ROUTINE,3,HIGH,2024-11-13 00:00:00 UTC,Routine safety inspection,OPEN
796561697,1168237128,792475962,2024-10-14 00:00:00 UTC,ROUTINE,1,LOW,2024-11-13 00:00:00 UTC,Routine safety inspection,OPEN
506251084,919632549,1543598189,2024-10-15 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-11-14 00:00:00 UTC,Routine safety inspection,OPEN
1872880637,919632549,1543598189,2024-10-19 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-11-18 00:00:00 UTC,Routine safety inspection,OPEN
1647158057,919632549,1543598189,2024-10-21 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-11-20 00:00:00 UTC,Routine safety inspection,OPEN
655794245,1168237128,779233749,2024-10-23 00:00:00 UTC,ROUTINE,0,NONE,2024-11-22 00:00:00 UTC,Routine safety inspection,OPEN
1052087470,392195143,899937147,2024-10-28 00:00:00 UTC,ROUTINE,1,LOW,2024-11-27 00:00:00 UTC,Routine safety inspection,OPEN
409564276,1168237128,990656208,2024-10-29 00:00:00 UTC,ROUTINE,1,LOW,2024-11-28 00:00:00 UTC,Routine safety inspection,OPEN
1093092057,919632549,209475583,2024-10-29 00:00:00 UTC,ROUTINE,3,HIGH,2024-11-28 00:00:00 UTC,Routine safety inspection,OPEN
1827070744,1168237128,779233749,2024-11-05 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-12-05 00:00:00 UTC,Routine safety inspection,OPEN
393796762,392195143,899937147,2024-11-06 00:00:00 UTC,ROUTINE,3,HIGH,2024-12-06 00:00:00 UTC,Routine safety inspection,OPEN
1863611408,392195143,1785728209,2024-11-07 00:00:00 UTC,ROUTINE,1,LOW,2024-12-07 00:00:00 UTC,Routine safety inspection,OPEN
1870349570,919632549,966958699,2024-11-08 00:00:00 UTC,ROUTINE,1,LOW,2024-12-08 00:00:00 UTC,Routine safety inspection,OPEN
952691016,1168237128,792475962,2024-11-09 00:00:00 UTC,ROUTINE,3,HIGH,2024-12-09 00:00:00 UTC,Routine safety inspection,OPEN
1207757250,919632549,1393170979,2024-11-09 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-12-09 00:00:00 UTC,Routine safety inspection,OPEN
1344066317,1168237128,792475962,2024-11-10 00:00:00 UTC,ROUTINE,3,HIGH,2024-12-10 00:00:00 UTC,Routine safety inspection,OPEN
220023540,919632549,1543598189,2024-11-14 00:00:00 UTC,ROUTINE,0,NONE,2024-12-14 00:00:00 UTC,Routine safety inspection,OPEN
797137081,392195143,1727635875,2024-11-16 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-12-16 00:00:00 UTC,Routine safety inspection,OPEN
536662030,392195143,1785728209,2024-11-17 00:00:00 UTC,ROUTINE,1,LOW,2024-12-17 00:00:00 UTC,Routine safety inspection,OPEN
1476702360,919632549,1543598189,2024-11-17 00:00:00 UTC,ROUTINE,3,HIGH,2024-12-17 00:00:00 UTC,Routine safety inspection,OPEN
1686096679,919632549,1393170979,2024-11-21 00:00:00 UTC,ROUTINE,3,HIGH,2024-12-21 00:00:00 UTC,Routine safety inspection,OPEN
296053594,392195143,1727635875,2024-11-22 00:00:00 UTC,ROUTINE,3,HIGH,2024-12-22 00:00:00 UTC,Routine safety inspection,OPEN
930744403,1168237128,779233749,2024-11-29 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-12-29 00:00:00 UTC,Routine safety inspection,OPEN
872255811,392195143,1785728209,2024-11-30 00:00:00 UTC,ROUTINE,0,NONE,2024-12-30 00:00:00 UTC,Routine safety inspection,OPEN
1395654556,1168237128,792475962,2024-11-30 00:00:00 UTC,ROUTINE,0,NONE,2024-12-30 00:00:00 UTC,Routine safety inspection,OPEN
661873904,392195143,899937147,2024-12-02 00:00:00 UTC,ROUTINE,2,MEDIUM,2025-01-01 00:00:00 UTC,Routine safety inspection,OPEN
792682029,392195143,1727635875,2024-12-10 00:00:00 UTC,ROUTINE,3,HIGH,2025-01-09 00:00:00 UTC,Routine safety inspection,OPEN
389297706,392195143,1094986064,2024-12-11 00:00:00 UTC,ROUTINE,1,LOW,2025-01-10 00:00:00 UTC,Routine safety inspection,OPEN
214227737,919632549,1393170979,2024-12-12 00:00:00 UTC,ROUTINE,3,HIGH,2025-01-11 00:00:00 UTC,Routine safety inspection,OPEN
1310127974,392195143,1094986064,2024-12-15 00:00:00 UTC,ROUTINE,3,HIGH,2025-01-14 00:00:00 UTC,Routine safety inspection,OPEN
790541704,1168237128,990656208,2024-12-18 00:00:00 UTC,ROUTINE,3,HIGH,2025-01-17 00:00:00 UTC,Routine safety inspection,OPEN
2092246065,919632549,1543598189,2024-12-18 00:00:00 UTC,ROUTINE,3,HIGH,2025-01-17 00:00:00 UTC,Routine safety inspection,OPEN
1878449263,919632549,209475583,2024-12-20 00:00:00 UTC,ROUTINE,1,LOW,2025-01-19 00:00:00 UTC,Routine safety inspection,OPEN
1721805627,919632549,209475583,2024-12-21 00:00:00 UTC,ROUTINE,0,NONE,2025-01-20 00:00:00 UTC,Routine safety inspection,OPEN
1657670547,392195143,1094986064,2024-12-22 00:00:00 UTC,ROUTINE,0,NONE,2025-01-21 00:00:00 UTC,Routine safety inspection,OPEN
